characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozerozerozero(long),countvalue(long)
Total,Female,"Black, non-Hispanic",1265,791,218896
Total,Female,"Black, non-Hispanic",2708,777,219439
Total,Female,"Black, non-Hispanic",2002,766,220072
Total,Female,"Black, non-Hispanic",2003,-2419,218436
Total,Female,"Black, non-Hispanic",2004,707,207416
Total,Female,"Black, non-Hispanic",2523,-2453,200050
Total,Female,"Black, non-Hispanic",2006,663,196234
Total,Female,"Black, non-Hispanic",2007,662,197731
Total,Female,"Black, non-Hispanic",2658,658,199105
Total,Female,"Black, non-Hispanic",2009,660,201325
Total,Female,"Black, non-Hispanic",1393,644,198997
Total,Female,"Black, non-Hispanic",2011,616,192248
Total,Female,"Black, non-Hispanic",2910,575,180734
Total - Male,Male,"Black, non-Hispanic",2000,1478,209543
Total - Male,Male,"Black, non-Hispanic",2001,1447,209658
Total - Male,Male,"Black, non-Hispanic",2855,1422,209710
Total - Male,Male,"Black, non-Hispanic",2003,4563,207921
Total - Male,Male,"Black, non-Hispanic",2004,4088,196906
Total - Male,Male,"Black, non-Hispanic",2005,1249,189298
Total - Male,Male,"Black, non-Hispanic",2006,1215,185418
Total - Male,Male,"Black, non-Hispanic",2007,1213,186631
Total - Male,Male,"Black, non-Hispanic",1374,1207,188035
Total - Male,Male,"Black, non-Hispanic",2009,1212,190118
Total - Male,Male,"Black, non-Hispanic",2010,1187,187699
Total - Male,Male,"Black, non-Hispanic",2011,1136,181510
Total - Male,Male,"Black, non-Hispanic",2158,-2337,170734
Total - Female,Female,"Black, non-Hispanic",1028,-2464,9089
Total - Female,Female,"Black, non-Hispanic",2001,71,9724
Total - Female,Female,"Black, non-Hispanic",2002,74,10336
Total - Female,Female,"Black, non-Hispanic",1125,73,270137
Total - Female,Female,"Black, non-Hispanic",2004,73,10464
Total - Female,Female,"Black, non-Hispanic",2005,75,10713
Total - Female,Female,"Black, non-Hispanic",2253,75,10768
Total - Female,Female,"Black, non-Hispanic",2007,76,11044
Total - Female,Female,"Black, non-Hispanic",2008,75,11036
Total - Female,Female,"Black, non-Hispanic",2009,76,11186
Total - Female,Female,"Black, non-Hispanic",2188,75,11277
Total - Female,Female,"Black, non-Hispanic",2011,70,10696
Total - Female,Female,"Black, non-Hispanic",2012,65,9942
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2000,345,59129
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2001,349,60836
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2002,353,62498
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,340,61052
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2004,331,59749
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,316,57006
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,301,54466
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,289,52669
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2557,284,52055
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2194,281,51343
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,284,49975
