characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
Total,Female,"All other, non-Hispanic",Two parents,2001,4.1%,0.3%
Total,Female,"All other, non-Hispanic",Two parents,2002,4.1%,0.3%
Total,Female,"All other, non-Hispanic",Two parents,1458,4.1%,0.3%
Total,Female,"All other, non-Hispanic",Two parents,2004,4.1%,0.3%
Total,Female,"All other, non-Hispanic",Two parents,2005,4.1%,0.3%
Total,Female,"All other, non-Hispanic",Two parents,2006,4.1%,0.3%
Total,Female,"All other, non-Hispanic",Two parents,2007,70.7%,0.4%
Total,Female,"All other, non-Hispanic",Two parents,2008,69.9%,0.5%
Total,Female,"All other, non-Hispanic",Two parents,2009,69.8%,0.5%
Total,Female,"All other, non-Hispanic",Two parents,2484,69.4%,0.5%
Total,Female,"All other, non-Hispanic",Two parents,2011,68.9%,0.5%
Total,Female,"All other, non-Hispanic",Two parents,2012,68.099999999999994%,0.5%
Total,Female,"All other, non-Hispanic",Two parents,2013,68.5%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2001,69%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2208,69%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2094,68.4%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2004,67.8%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2005,67.3%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2353,67.4%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2007,67.8%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2008,66.7%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2009,66.8%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2581,65.7%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2011,65%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2012,64.1%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2013,64.4%,0.5%
Total,Female,"All other, non-Hispanic",Mother only,2001,22%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2002,23%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2003,23%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2004,23.3%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2005,23.4%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2006,23.3%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2007,22.6%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2008,22.8%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2009,22.8%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2010,23.1%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2011,23.6%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2012,24.4%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2013,23.7%,0.4%
Total,Female,"All other, non-Hispanic",Father only,2001,4%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2122,5%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2003,4.6%,0.2%
Total,Female,"All other, non-Hispanic",Father only,1845,4.6%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2005,4.8%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2379,4.7%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2007,3.2%,0.2%
Total,Female,"All other, non-Hispanic",Father only,1226,3.5%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2009,3.4%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2010,3.4%,0.2%
Total,Female,"All other, non-Hispanic",Father only,1005,3.5%,0.2%
