dbn,schoolname,numofsattesttakers,satcriticalreadingavgscore,satmathavgscore,satwritingavgscore
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,92,355***,404,63
01448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,43,c366
01M450,EAST SIDE COMMUNITY SCHOOL,70,3z77,402,370
01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359
01M509,MARTA VALLE HIGH SCHOOL,44,390,433,384
01M15,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,12,332,557,316
i01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",519,522,547,525
01M650,CASCADES HIGH SCHOOL,18,417,418,411
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,64,268
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISHj SECONDARY SCHOOL,16,395,400,387
02M288,FOOD AND FINANCE HIGH SCHOOL,k62,40s9,393,392
02M294,ESSEX STREET ACADEMY,53,394,384,378
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374,375,362
02M298,PACE HIGH SCHOOL,85,423,438,432
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,41y6
02M303,"FACING HISTORY SCHOOL, THE",76,353,358,340
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,n388,385
0c2M308,LOWER MANHATTAN ARTS ACADEMY,40,403,392,405
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,30,390
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,3o84
02M347,GRAMERCY ARTS HIGH SCHOOL,60,3n91,391,39z4
02M736,NYC ISCHOOL,92,473,483,479
02vM392,MANHATTAN BUSINESS ACADEMY,s,s,s,s
02M393,BUSINESS OF SPORTS SCHOOL,s,s,s,s
02M394,EMMA LAZARUS HIH SCHOOL,79,319,512,357
0M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,***,s,s,***
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465,493,41
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54,492,465,467
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,509,490,523
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,04,496,563,518
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIV ESTUDIES,114,537,590,550
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66,517,533,515
02M414,N.Y.C. MUSEUM SCHOOL,103,468,492,459
02M416,ELEANOR ROOSEVuELT HIGH SCHOOL,127,572,549,592
02M418,MILLENNIUM HIGH SCHOOL,14m4,528,553,533
02M419,LANDMARK HIGH SCHOOL,62,390,399,81
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336,429,449,248
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84,416,426,391
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,***,,s,s
02M42t9,LEGACY SCHOOL FOR INTEGRATED STUDIES,29,3b56,357,349
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,s,s,s,s
02M438,INTERNATIONAL HIGH SCHOOLAT UNION SQUARE,,s,s,s
02M439,MANHATTAN VILLAGE ACADEMY,95,441,473,458
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,59,378,365,368
02M449,VANGUARD HIGH SCHOOL,72,395,416,388
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49,376,460,h391
