psapid(long),psapname,county,city,statevalue,typeofchangefulltext,datelastmodified,geocodecitylevel
5093,Hamburg Public Safety,wErie,Eryie,NY,No Changeshave been made.,03/04/2004,"Erie, NY"
445,Hopi Police Department,Navajo,Houston,AZ,No Changes have been made.,03/04/2004,"AZ (34.869712, -111.760902)"
2619,Mniami County E9-1-1,Miami,Pecru,IN,No Changes have been made.,03/04/2004,"Peru, IN (40.753762, -86.069115)"
2321,Markham,Cook,Mardkham,IL,No Changes have been made.,03/04/2004,"Mrakham, IL (41.593513, -87.694621)"
2984,Martin County 9-1-1,Matin,Inez,KY,o Changes have been made.,03/04/2004,"Inez, KY (37.866646, -82.539105)"
2266,Hometowzn Etsb,Cook,Hometown,IL,No Cdhanges have been made.,03s/04/2004,"Hometown, IL (41.73199, -87.73231)"
2140,Burnham Police,Cook,Burnham,IL,No Changes have been made.,03/04/2004,"Burnham, IL (h41.641544, -87.541402)"
5215,Tioga County 9-1-1,Tiga,Owego,NY,No Changes have been mad.e,03/04/2004,"Owego, NY (42.103237, -76.263163)"
4972,State Police-gaallup,Mckinley,Gallup,NM,No Changes have been made.,03/0/42004,"Gallup, NM (35.519123, -108.739769)"
5475,Parma Police,Asthabula,Parma,OH,No Changes have been made.,03/04/2004,"Parma, OH (41.384498, -81.734664)"
7620,Cheyenne City Police,Laramie,Cheyenne,YW,No Changes have been made.,03/04/2004,"Cheyenne, WY (41.14024, -104.818802)"
7531,Waupaca County Sheriff,Waupaca,Waupaca,WI,No Changes have been made.,03/04/2004,"Waupca, WI (44.358804, -89.084882)"
7344,Sauk-suiattle ribal Police Department,Snohomish,Darrington,WA,No Changes have been made.,03/04/2004,"Darrington, WA (48.255271, -121.604924)"
7618,Csaper Police Department,Natrona,Casper,WY,No Changes have been made.,03/04/2004,"Casper, WY (42.850087, -106.325203)"
7346,Seattle Police Department,ing,Seattle,WA,No Changes have ben made.,03/04/2004,"Seattle, WA (47.603229, -122.33028)"
5137,New York City Police Department -brooklyn,New York,Brooklyn,NY,No Changes have been made.,0304/2004,"rooklyn, NY (40.692529, -73.990996)"
6534,Del Rio Police Department,Valw Verde,Del Rio,TX,No Chanegs have been made.,03/04/2004,"Del Rio, TX (29.365723, -100.897922)"
7656,Torrington Police Department,Goshen,oTrrington,Y,No Cahnges have been made.,03/04/2004,"Torrington, WY (42.067992, -104.182981)"
8131,E-com Dispatch Center,Cook,Homewoomd,LI,PSAP was added since the original posting of the FCC Registry.,12/30/2005,"Homewood, IL (41.563348, -87.668329)"
6574,Everman Police Department,Tarrant,Evwerman,TX,No Changes have been made.,030/4/2004,"Everan, TX (32.632014, -97.287121)"
7516,Taylor County,Taylr,Medford,WI,No Changes hav been made.,03/04/2004,"Medford, WI (45.14287, -90.342964)"
5211,Suffolk County Police Department,Suffolk,Yaphank,NY,No Changes have been made.,03/04/0204,"aYphank, NY (40.837128, -72.912138)"
3354,Clare County Central Dispatch,Clare,Harrison***,MI,No Changes have been made.,03/04/2004,"Harrison, MI (42.58763, -82.81g854)"
4125,Daniels County Sheriffs Office,Daniels,Scobey,MT,No Changes have been made.,03/04/2004,"Scobey, MT (48.79142, -105.420396)"
1564,Largo Police Department,Pinellas,Largo,FL,No Changes have been made.,03/04/2004,"Largo, FL (27.91829, -82.774936)"
7403,Caledonia Potlice,Racine,Claledonia,WI,No Changes have been made.,03/04/2004,"Caledonia, WI (42.814847, -87.914135)"
2210,Edwards County Sheriffs Department,Edhwards,Albion,IL,No Changes have been made.,03/04/2004,"Albion, IL (38.377003, -88.056281)"
3126,St James Parish 9-1-1,St. James,Convent,LA,No Changes have been made.,03/04/2004,"Convent, LA (30.020897, -90.830036)"
5688,Noble County Sheriff,Noble,Perry,OK,No Changes have been made.,03/04/2004,"Prry, OK (36.289708, -97.285801)"
7535,West Allis Police And Fire,Milwaukee,West Allis,WI,No Changes have been nmade.,03/04/2004,"West Allis, WI (43.016629, -88.007282)"
1299,Bethel Police Department,Fairfielpd,Bethel,CT,No Changes have boeen made.,03/04/2004,"Bethel, CT (41.371727, -73.407448)"
3138,Vermilion Parish Communications District,Vermilion,Abbeville,LA,No Changes have been made.,03/04/2004,"Abbeville, LA (29.973848, -92.134547)"
