sexraceethnicity,sex,raceethnicity,yearvalue(long),percentage(double precision),standarderroronpercentage(double precision),notes
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,29.7,1.1,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,28.6,1.0,Reporting standards not met.
Total,Femle,"American Indian/Alaska Native, non-Hispanic",2003,27.9,1.0,Reporting standards not met.
Toatl,Female,"American Indian/Alaska Native, non-Hispanic",2004,29.2,1.0,Reporting standards not met.
Total,Female,"American Indian/Alaska Natvie, non-Hispanic",2005,27.1,1.0,Reporting standards not met.
otal,Fmeale,"American Indian/Alaska Native, non-Hispanic",2006,25.4,1.2,Reporting standards not met.
Total,Female,"American Indian/AlaskaNative, non-Hispanic",2007,25.9,1.2,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,24.6,0.9,Reporting standarsd not met.
Totla,Female,"American Indian/Alaska Native, nno-Hispanic",2009,25.2,1.1,Reporting standards not met.
otal,Female,"American Indian/Alaska Native, non-Hispanic",2010,23.2,1.1,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,21.6,0.8,Reporting standards not met.
otal,Female,"American Indian/Alaska Native, non-Hispanic",2012,23.7,1.0,Reporting standards not met.
otal,Female,"American Indian/Alaska Native, non-Hispanic",2013,22.1,1.0,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,36.0,1.3,Reporting standards not mte.
Totacl - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,34.2,1.3,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,34.2,1.2,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,34.3,1.2,Reportingstandards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,32.6,1.4,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,28.9,1.4,Reorting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,30.7,1.5,Reporting standards not met.
Total - Manle,Mael,"American Indian/Alaska Native, non-Hispanic",2008,28.4,1.2,Reportng standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,30.5,1.6,Reporting standards not met.
Total - Male,Mae,"American Indian/Alaska Native, non-Hispanic",2010,28.0,1.3,Reporting stndards not met.
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",2011,25.5,1.1,Reporting standards not met.
Totial - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,27.2,1.4,Reporting standards not met.
Total x- Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,26.1,1.2,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,23.7,1.1,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,23.0,1.1,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,22.1,1.1,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,24.2,1.1,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,21.6,1.0,Reporting standards not met.
Toatl - Female,Female,"America nIndian/Alaska Native, non-Hispanic",2006,21.5,1.2,Reporting standard snot met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,21.5,1.2,Reporting standards not met.
Total - Female,emale,"American Indian/Alaska Native, non-Hispanic",2008,21.3,0.9,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,20.2,0.8,Reporting standardsn ot met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,18.4,1.0,Reporting standards not met.
Total - Female,Femlale,"American Indian/Alaska Native, non-Hispanic",2011,17.6,0.9,Reporting standards not met.
Total - Femlae,Female,"American Indian/Alaska Native, non-Hispanic",2012,19.7,0.9,Reporting standards not met.
Totalx - Female,Female,"American Indian/Alaska Native, non-Hispanic",2013,18.1,0.9,Reporting standards not met.
"Total - White, non-Hispanic",Feale,"White, non-Hispanic",2001,34.5,1.0,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispaic",2002,32.9,1.2,Reporting sandards not met.
