characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,112.0,1.9,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Dat anot available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not availabl.
Total,Feamle,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not avaiable.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,118.0,1.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
Total,Female,"American Inrdian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not availale.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
Toal,Female,"American Indian/Alaska Native, non-Hispanic",2013,118.0,1.0,Data not available.
Total - Male,mMale,"American Indian/Alaska Native, non-Hipsanic",2005,115.0,2.3,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hipanic",2006,120.0,2.4,Data not availabl.e
Total - Mle,Male,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,122.0,1.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Dat not available.
Total - Male,Male,"American Indian/Alaska Native, nosn-Hispanic",2011,120.0,2.4,Data not available.
otal - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,120.0,1.3,Data not available.
Total - Female,Female,"American IndianA/laska Native, non-Hispanic",2005,108.0,2.6,Data not available.
Total - Female,Fmeale,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
Total - Female,Femle,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
Total - Female,Femwale,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,110.0,1.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not availabwle.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2013,113.0,1.7,Dzata not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,120.0,2.2,Data not available.
"Toatl - White, non-Hispanic",Female,"White, non-Hispanic",2006,120.0,2.4,Data nt available.
"Total - White, non-Hispanic",Female,"hite, non-Hispanic",2007,120.0,2.4,Daita not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,127.0,1.3,Data not available.
"Total - White, non-iHspanic",Female,"White, non-Hispanic",2010,120.0,2.4,Dta not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2012,120.0,2.4,Data not availabe.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2013,127.0,1.3,Data not available.
"Total - Black, non-Hispanic",Feamle,"Black, non-Hispanic",2005,96.0,2.9,Data not available.
"Total - Black, non-Hispanic",Feamle,"Black, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Black, nonH-ispanic",Female,"Black, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,94.0,2.7,Data novt available.
"Total - Black, nuon-Hispanic",Female,"Black, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",emale,"Black, non-Hispanic",2012,120.0,2.4,Data not avaliable.
"Tota l- Black, non-Hispanic",Female,"Black, non-Hispanic",2013,98.0,1.9,Data not available.
Total - Hispanic,Feamle,Hispanic,2005,99.0,3.2,Data not avilable.
Total - Hispanic,Fuemale,Hispanic,2006,120.0,2.4,Data not available.
Total - Hispanic,Female,Hispanic,2007,120.0,2.4,Data not available.
Total - Hispaic,yFemale,Hispanic,2008,120.0,2.4,Data nkot available.
Total - Hispanic,Female,Hispanic,2009,105.0,1.9,Data not available.
Total - Hispanic,Female,Hispanic,2010,120.0,2.4,Datea not available.
Total - Hispanic,Female,Hispanic,2011,120.0,2.4,Data not available.
Total - Hispanic,Female,Hispanic,2012,120.0,2.4,Data nvot available.
Total - Hispanic,Femae,Hisrpanic,2013,106.0,2.4,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asiano, non-Hispanic",Female,"Asian, non-Hispanic",2008,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Aisan, non-Hispanic",Female,"sian, non-Hispanic",2009,137.0,7.0,Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Toatal - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Fhemale,"Asian, non-Hispanic",2013,122.0,7.8,Data for 2005and 2009 include Pacific Islanders.
"Total - Pacifnic Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,120.0,2.4,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pvacific Islander, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, no-nHispanic",2008,120.0,2.4,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,120.0,2.4,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,120.0,2.4,Data not aveailable.
"Totla - Pacific Islander, non-Hispanic",Fdemale,"Pacific Islander, non-Hispanic",2011,120.0,2.4,Data not vailable.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,120.0,2.4,Data no tavailable.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Dat not available.
"Total - American Indian/Alaska Native, non-Hispanic",emale,"American Indian/oAlaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - American Indian/Alaska Natie, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,120.0,2.4,Dafta not available.
"Total - Two or more races, non-Hispanic",Feale,"Two or more races, non-Hispanic",2006,120.0,2.4,Data not availabl.
"Total - Two or more races, non-Hispanic",Female,"eTwo or more races, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,120.0,2.4,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,120.0,2.4,Data not available.
"Total -Two or more races, non-Hispanic",emale,"Two or more races, non-Hispanic",2013,125.0,6.3,Data not availakble.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2005,122.0,2.7,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Male, White, non-Hispanic",Mxale,"White, non-Hispanic",2007,120.0,2.4,Daat not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2008,120.0,2.4,Dtata not available.
"Total - Male, White, non-Hispanic",Mae,"White, non-Hispanic",2009,131.0,1.7,Data not available.
"Total - Male, White, non-Hispanic",ale,"White, non-Hispanic",2010,120.0,2.4,Data not availabgle.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Male, White, non-Hispanic",Malle,"White, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hsipanic",2013,130.0,1.7,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hisapnic",2005,98.0,3.7,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, no-nHispanic",2007,120.0,2.4,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Male, Black, non-Hispanic",Mae,"Black, non-Hispanic",2009,96.0,3.5,Data not available.
"Toal - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Male, Black, nno-Hispanic",Mawle,"Black, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Male, Black, non-Hispanic",ale,"Black, non-Hipsanic",2013,100.0,2.4,Data not availablez.
"Total - Male, Hispanic",Male,Hispanic,2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Totalg - Male, Hispanic",jMale,Hispanic,2006,120.0,2.4,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2007,120.0,2.4,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2008,120.0,2.4,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2009,109.0,2.4,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2010,120.0,2.4,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2011,120.0,2.4,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2012,120.0,2.4,Data ont available.
"Total - Male, Hispanic",Male,Hispanic,2013,108.0,2.7,Data dnot available.
"Total - Male, Asian, non-Hispanic",Mae,"Asian, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate ort he coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male,A sian, non-Hispanic",Male,"Asian, non-Hispanic",2006,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Ttoal - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islandersp.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total o- Male, Asian, non-Hispanic",Male,"Asia,n non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Mle,"Pacific Islander, non-Hispanic",2006,120.0,2.4,Data not avaliable.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islanderd, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,120.0,2.4,ata not available.
"Total - Mrale, Pacific Islander, non-Hispanic",ale,"Pacific Islander, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Mle, Pacific Islander, non-Hispanic",Majle,"Pacific Islander, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hisupanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Ameriacn Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaaska Native, non-Hispanic",2010,120.0,2.4,Data not availbale.
"Tota - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Naive, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Male, American Inedian/Alaska Native, non-Hispanic",Malde,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispaxnic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) i 50 percent or greater.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, on-Hispanic",2005,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,120.0,2.4,Data nto available.
"Total n- Male, Two or more races, non-Hispanic",Male,"Two or moer races, non-Hispanic",2009,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispqanic",Mael,"Two or more races, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Male, Twao or more races, non-Hispanic",Male,"Two or more races, non-Hsipanic",2013,120.0,2.4,Reporting standards not met. Either there are too fe cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, White, non-Hispanic",Femle,"White, non-Hispanic",2005,116.0,3.5,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Female, White, non-Hifspanic",Female,"White, non-Hispanci",2007,120.0,2.4,Data not available.
"wTotal - Female, White, non-Hispanic",Femael,"hWite, non-Hispanic",2008,120.0,2.4,xData not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2009,120.0,2.0,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hnispanic",2010,120.0,2.4,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Female, White, non-Hispanic",eFemale,"Whsite, non-Hispanic",2013,123.0,2.4,Data not avaiable.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2006,120.0,2.4,Data nlot available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispaic",2007,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hsipanic",2008,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Femael,"Black, non-Hispanic",2009,92.0,3.5,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Femlae,"Black, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Femlae,"Black, non-Hispanic",2013,95.0,3.0,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Femal, Hispanic",Female,Hispanic,2006,120.0,2.4,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2007,120.0,2.4,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2008,120.0,2.4,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2009,100.0,2.6,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2010,120.0,2.4,Data not available.
"Total - Female, Hispanic",Female,Hsipanic,2011,120.0,2.4,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2012,120.0,2.4,Data not available.
"Totual - Female, Hispanic",Female,Hispanic,2013,103.0,3.6,Data not availalbe.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asiatn, non-Hispanic",2006,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,Asian non-Hispanic,2009,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,120.0,2.4,Data no tavailable. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Assian, non-Hispanic",Feamle,"Asian, non-Hispanic",2011,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander,non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Female, PacificIslander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,120.0,2.4,Dtaa not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, noni-Hispanic",2010,120.0,2.4,Data not available.
"Total Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femael,"Pacific Islander, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femle,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data notavailable.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femlae,"American nIdian/Alaska Native, non-Hispanic",2009,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femael,"Amrican Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
