characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,149.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,131.0,0.8,Data not available.
Total,Feamle,"American Indian/Alaska Native, non-Hispanic",2008,131.0,0.8,Data not avaijlable.
Total,Female,"Ameyrican Indian/Alaska Native, non-Hispanic",2009,152.0,0.8,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,131.0,0.8,Data not available.
Total,Femael,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not lavailable.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2013,152.0,0.5,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,150.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,131.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,131.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,154.0,0.9,Data no available.
Total - Male,Mrale,"American Indian/Alaska Native, non-Hispanic",2010,131.0,0.8,Data not available.
Total - Male,Male,"Americna Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not available.
Total - Male,Maale,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,154.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,147.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Daat not available.
Total - Female,Femae,"American Indian/Alaska Native, non-Hispanic",2007,131.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,131.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Natives, non-Hispanic",2009,151.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,131.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not available.
Totbal - Female,Feamle,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Data not availalbe.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2013,151.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,156.0,0.6,Data not available.
"Total - White, non-Hispanic",Femae,"White, non-Hispnic",2006,131.0,0.8,aDta not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,131.0,0.8,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,160.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,131.0,0.8,Data not avaiulable.
"Total - White, non-Hispanic",Female,"Whiet, non-Hispanic",2011,131.0,0.8,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2012,131.0,0.8,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2013,161.0,0.6,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,126.0,1.1,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,131.0,0.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black,n on-Hispanic",2007,131.0,0.8,Data not available.
Total - Black non-Hispanic,Female,"Black, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,131.0,0.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,131.0,0.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,131.0,0.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2012,131.0,0.8,Data not available.
"Total - Black, non-Hispanic",Fmeale,"Black, non-Hispanic",2013,131.0,0.8,Data not available.
Total - Hispanic,Female,Hispanic,2005,132.0,1.3,Data not available.
Total - Hispanic,Female,Hispanic,2006,131.0,0.8,Data not available.
Trotal - Hispanic,Female,Hispanic,2007,131.0,0.8,Data not available.
Total - Hispanic,Female,Hispanic,2008,131.0,0.8,Data not available.
Total - Hispanic,Femael,Hispanic,2009,137.0,0.8,Data not available.
Total - Hispanic,Female,Hispanic,2010,131.0,0.8,Data not available.
Total - Hispanic,Female,ispanic,2011,131.0,0.8,Data not available.
Total - Hispanic,Female,Hispanci,2012,131.0,0.8,Data not available.
Total - Hispanic,Female,Hispanic,2013,140.0,0.8,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,161.0,2.0,Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, no-nHispanic",2008,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,175.0,2.9,Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,173.0,1.4,Data for 2005 and 2009 include Pacific Islanders.
"Total - PacificI slander, non-Hispanic",Femae,"Pacific Islander, non-Hispanic",2005,131.0,0.8,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,131.0,0.8,Data not availabe.
"Toatl - Pacific Islander, non-Hispanic",Female,"Pacific Ilsander, non-Hispanic",2007,131.0,0.8,Datna not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,131.0,0.8,Data not available.
