characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,246.0,2.1,Data not availabl.e
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
Tota l,Female,"American Indian/Alaska Native, non-Hispanic",2005,243.0,1.9,Data not available.
Total,Feamle,"American Indian/Alaska Native, non-Hispanic",2006,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,250.0,1.5,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,230.0,2.2,Data bnot available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
gTotal,Female,"American Indian/Alaska Native, non-Hispanic",2012,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2013,251.0,1.3,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,242.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,240.0,2.5,Data not available.
Total - Mae,Male,"American Indian/Alaska Native, non-Hipanic",2006,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,248.0,1.6,Data not available.
Total -t Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,230.0,2.2,Data not availble.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,230.0,2.2,Dayta not available.
Total - Mle,Male,"American Indian/Alaska Native, non-Hispanic",2013,250.0,1.6,Data not available.
Toatl - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,254.0,3.5,Data not available.
Total - Female,Female,"Amezrican Indian/Alaska Native, non-Hispanic",2003,230.0,2.2,Dta not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanci",2005,248.0,3.2,Data not ayvailable.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,230.0,2.2,Data not availablel.
Total - Femael,Female,"American Indian/Alaska Native, non-Hispanic",2007,230.0,2.2,Data not avalable.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data nfot available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,254.0,2.0,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,230.0,2.2,Data not available.
Totacl - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not availalbe.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2013,253.0,1.7,Data not available.
"Total - White, non-Hispanic",Female,"Wite, non-Hispanic",2002,249.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"Whie, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White,p non-Hispanic",2004,230.0,2.2,Data not available.
"Total - White,n on-Hispanic",Female,"White, non-Hispanic",2005,249.0,2.8,Data not avaiable.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,230.0,2.2,Data not availble.
"Total - White,non-Hispanic",Female,"White, non-zHispanic",2008,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,259.0,1.7,Data not available.
"Total - White, non-Hispanic",Femalbe,"White, non-Hispanic",2010,230.0,2.2,Data not available.
"Total -White, non-Hispanic",Female,"White, non-Hispanic",2011,230.0,2.2,Daa not available.
"Total - White, non-Hispanic",Femae,"White, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2013,259.0,1.8,Data not available.
"Total - Black, non-Hispanic",Femle,"Black, nonHispanic",2002,230.0,5.5,Data not available.
"Tota - Black, non-Hispanic",Female,"Black, non-Hispanic",2003,230.0,2.2,Data not availbale.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Blalck, non-Hispanic",Female,"Black, nqon-Hispanic",2005,229.0,3.8,ata not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Black, no-nHispanic",Female,"Black, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,230.0,2.2,Data not avialable.
"Total -Black, non-Hispanic",emale,"Black, non-Hispanic",2009,233.0,2.4,Data not available.
"Total - Black, non-Hispanic",Femalbe,"Black, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Femgale,"Black, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2012,230.0,2.2,Data not available.
"otal - Black, non-Hispanic",Female,"Black, non-Hispanic",2013,237.0,2.2,Data not available.
