sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2000,229.0,2.3,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not ravailable.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not favailable.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,242.0,0.6,Data not available.
Tota l,Female,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanci",2005,244.0,0.5,Data not availabl.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data ot available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,246.0,0.7,Data not avaliable.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,249.0,0.5,Data not availabile.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,249.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Dat not available.
Total,Female,"American Indian/Alxaska Native, non-Hispanic",2013,248.0,0.5,Data not available.
Total - Male,Mlae,"American Indian/Alaska Native, non-Hispanic",2000,233.0,2.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Mael,Male,"American Indian/Alaksa Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Male,Mle,"American Indian/Alaska Native, non-Hispanic",2003,244.0,0.7,Data not available.
otal - Male,Mgale,"American Indian/lAaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,247.0,0.6,Data not available.
otal - Male,Mael,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,248.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Malte,Male,"American Indian/Alaska Native, non-Hispanic",2009,252.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total - Male,Mlae,"American Indian/Alaska Native, non-Hispanic",2011,252.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,251.0,0.6,Data not availadble.
Total - Female,Femgale,"American Indian/Alaska Native, non-Hispanic",2000,221.0,3.0,Data not available.
Total - Female,Femae,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,237.0,0.9,Data not available.
Total - Fmeale,Femwale,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,239.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total - Female,Feemale,"American Indan/Alaska Native, non-Hispanic",2007,241.0,1.0,Data not avdailable.
