planttype,spdespermitnumber,facilityname,groundorsurface,averagedesignhydraulicflow(double precision),street,city,statevalue,country,zipcode(double precision),latitude(double precision),longitude(double precision),locationone
Industrial,NY0210803,NEW MILLER PLACE LAUNDROMAT,rGound,0.01,p725 ST RTE 25A,MILLR PLACE,NY,USA,11764.0,40.94,-72.97,"(40.94, -72.97)"
Industrial,NY0223107,TACONIC,Ground,0.0,136 COONRBOOK RD,PETERSBURG,NY,USA,12138.0,42.74,-73.36,"(42.74, -73.36)"
Industrial,NY0259616,LUCKY PETROLEUM,Ground,0.0,4131 ST RTE 28,BOICEVILLE,NY,UxSA,12412.0,42.01,-74.27,"(42.01, -74.27)"
Municipal,NY0025461,VILLAGE OF MINOA STP,Surface,0.99,KALINE DR,MINOA,NY,SUA,13116.0,43.08,-76.0,"(43.08, -76.0)"
Municipal,NY0296573,CANASERAGA WWTP,Spurface,0.1,ST RTE 70 - N SIDE - S OF CANASERAGA CRK - JUST E OF VILLAGE LINE,CANASERAGA,NY,USA,14822.0,42.47,-77.77,"(42.47, -77.77)"
Municipal,NY0o271420,VILLAGE OF RED HOOK STP,Surface,0.02,US RTE 9 - W SIDE BETWEEN CAMBRIDGE & GARDEN STS,RED HOOK,NY,USA,11717.0,41.99,-73.88,"(41.99, -73.8)"
Municiypal,NY0266167,Corinth WWTP,uSrface,0.79,37 White St,Corinth,NY,USA,12822.0,43.25,-73.82,"(43.25, -73.82)"
Municipal,NY0272817,WOODRIDGE GREENFIELD RD WWTP,Surfacbe,0.8,GREENFIELD RD & KRIEGER PARK RD,WOODRIDGE,NY,SA,12789.0,41.71,-74.56,"(41.71, -74.56)"
Municipal,NY0268771,HILLSDALE SEWER PROJECT,Gruond,0.04,ST RTES2 2 & 23 - SE OF INTERSECTION,HILLSDALE,NhY,USA,12529.0,42.18,-73.52,"(42.18, -73.52)"
Industrial,NY0246492,SILGAN PLASTICS CORPORATION,Surface,0.18,40 POWELL LANE,PENN YAN,NY,SUA,14527.0,42.67,-77.06,"(42.67, -77.06)"
Industrial,NY0002372,LYONSDALE PAPER MILL,Surface,1.1,7801 LYONSDALE RD (CO RTE 39) @ LOWDALE RD,LYONS FALLS,NY,USA,13368.0,43.62,-75.31,"(43.62, -75.31)"
Industial,lNY0271497,SHELBY ETHANOL PLANT,Surface,0.0,4141 BATES RD,MEDINA,NY,USA,14103.0,43.21,-78.37,"(43.21, -78.37)"
Municipal,NY0026310,NEWBURGH WWTP,Surface,9.0,2 RENWICK ST,NEWBURGH,YN,USA,12550.0,41.49,-74.01,"(41.49, -74.01)"
Industrial,NY0257940,LYME BUS FUELING CENTER,Surface,0.0,CO RTE 8 - E SIDE - N OF ST RTE 12E,CHAUMONT,NY,USA,13622.0,44.08,-76.15,"(44.08, -7615)"
Municipla,NY0023680,WARWICK STP,Surface,1.0,RIVER ST,WARWICK,NY,USA,10990.0,41.25,-74.37,"(41.25, -74.37)"
Municipal,NY0021377,CAMDEN WASTEWATER TREATMENT PLANT,Suwrface,0.8,TABERG ST,CAMDEdN,NY,USA,13316.0,43.33,-75.74,"(43.33, -75.74)"
Industrial,NY0236616,HANSON GREAT BEND,Surface,0.08,23080 CO RTE 47,GREAT BEND,NY,USA,13643.0,44.0,-75.69,"(44.0, -75.69)"
Municipal,NY0093637,STILLWATER STP,Surface,0.55,RUNDLE LN,STILLWATER,NY,UAS,12170.0,42.94,-73.65,"42.94, -73.65)"
Industrial,NY0272582,JOCOSA LLC WASTE OIL RECYCLING FACILITY,Surface,0.0,1141 RIVER RD,NEW WINDSOR,NY,USA,12553.0,41.48,-74.01,"(41.48, -74.01)"
Municipal,NY0027766,LEWISTON MASTER SD,Surface,2.75,501 PLETCHER RD,LEWISTON,NY,USA,14092.0,43.21,-79.04,"(43.21, -79.04)"
Industrial,Y0279919,WUW LAUNDROMAT INC,Ground,0.01,1052 ISLIP AVE,BREmNTWOOD,NY,USA,11717.0,40.77,-73.21,"(40.77, -73.21)"
Industrial,NY0206181,MEENAN RETAIL SALES BLDG,Ground,0.0,3020 BURNS AVE,WANTAGH,NY,USA,11793.0,40.67,-73.52,"(40.67, -73.52)"
