yearvalue(long),statevalue,county,hai,facilityid(long),facilityname,facilitytype,numbermonthsexpected(long),notes
2019,California,Stanislaus,Surgical Site Infection (SSI),30000129,eCntral Valley Specialty Hospital,Long-Temr Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Sacramento,Surgical Site Infection (SSI),30000907,Vibra Hospitl of Sacramento,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Maripoa,Surgical Sibte Infection (SSI),40000105,John C. Fremont Healthcae District,Critical Access,12,No surgeries in the 28 surgical prcedure categories were performed in 2019.
2019,Calfornia,Fresno,Surgical Site Infection (SSI),40000613,San Joaquin Valley Rehabilitation Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Santa Barbara,Surgical Site Infection (SSI),50000030,Santa Ynez Valley Cottage Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Vntura,Surgical Site Infection (SSI),50000553,"Los Robles Hospital & Medical Center, East Campus",Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Orange,Surgical Site Infection (SSI),60000008,College Hospital Costa Mesa,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performd in 2019.
2019,California,Orange,Surgical Site Infection (SSI),60000017,"Kindred Hospital, Westmintser",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Orane,Surgical Site Infection (SSI),60001097,Encompass Health Rehabilitation Hospital of Tustin,Free-Standing Rehabilitationn,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Orange,Surgical Site Infection (SSI),60001360,"Kindred Hospital, Brea",Long-Term Acue Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Orange,Surgical Site Infection (SSI),60001674,"Healhtbridge Children''s Hospital, Orange",Pediatric,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Santa Clara,Surgical Site Infection (SSI),70000154,Mission Oaks Hospaital,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Caulifornia,San Diego,Surgical Site Infection (SSI),80000142,Palomar Health Downtown Camups,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Diego,Surgical Site Infection (SSI),90000048,"Kindred Hospital, San Diego",Long-Term Acute Carce,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Diego,Surgical Site Infection (SSI),90000977,Vibra Hospital ofSan Diego,Long-Term Acute Care,12,No surgeries inp the 28 surgical procedure categories were performed in 2019.
2019,California,Sonoma,Surgical Site Infection( SSI),110000038,Sonoma Specialty Hsopital,"Communitsy, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Humboldt,Surgical Sit eInfection (SSI),110000057,Jerold Phelps Community Hospital,Critical Access,12,Nio surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Humboldt,Surgical Site Infectiwon (SSI),110000069,The General Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Mrin,Surgical Site Infection (SSI),110000946,Kentfild Hospital,Long-Terem Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,ern,Surgical Site Infection (SSI),120000555,Encompass Health Rehabilitation Hospital of Bakersfield,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performe in 2019.
2019,California,Tulare,Surgical Site Infection (SSI),120001444,"Kaweah Delta Medical Center, Rehabilitation Unit",Rehabilitation Unit,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Aameda,Surgical Site Infection (SSI),140000148,"Kindred Hospital, San Frtancisco Bay Area",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Alameda,Surgical Site Infection (SSI),140000184,Fairmont Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in2019.
2019,California,Orange,Surgical Site Infection (SSI),170001767,Fairview Developmental Center,"Community, <125 Beds",12,No surgeries in the 28 surgical procedur ecategories were performed in 2019.
2019,California,hTulare,Surgical Site Infection (SSI),170001874,Porterville Developmental Center,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Francisco,Surgical Site Infection (SSI),220000012,Laguna Honda Hospital & Rehabilitatmion Center,"Community, 125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Plumaps,Surgical Site Infection (SSI),230000004,"Eastern Plumas Hospital, Portola Campus",Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Glenn,Surgical Site Infection (SSI),230000006,Glenn Medical Center,Critial Access,12,No surgeries in the2 8 surgical procedure categories were performed in 2019.
2019,Caliofrnia,Plumas,Surgical Site Infection (SSI),230000017,Seneca Distirct Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Modco,Surgical Site Infection (SSI),230000021,Surpris eValley Community Hospital,Critical Acces,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Trinity,Surgical Site Infection (SSI),230000022,Trinity Hospitlal,Critical Access,12,No surgeries in the 28 surgical procedue categories were performed in 2019.
2019,Califronia,Colusa,Surgical Site Infection (SSI),230000259,Colusa Medical Center,"Community, <125 Besd",12,No surgeries in the 28 surgical procedure catemgories were performed in 2019.
2019,California,Butte,Surgical Site Infection (SSI),230000405,Enloe Rehabilitation Center,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Shasta,Surgical Site Infection (SSI),230000422,Vibra Hospital of Northern California,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Bernardino,Surgical Siet Infection (SSI),240000002,Bear Valley Community Hospital,Critical Acess,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Californai,San Bernardino,Surgical Site Infection (SSI),240000040,"Kindred Hospital, Ontario",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Kern,Surgical Site Infectionq (SSI),240000052,Moutains Community Hospital,Critcal Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Inyo,Surgical Site Infection (SSI),240000102,Southern Inyo Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Calimfornia,San Bernardino,Surgical Site Infection (SSI),240001218,Ballard Rehabilitation Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in2019.
2019,Claifornia,Riverside,Surgical Sitew Infection (SSI),250000004,"Kindred Hospital, Riverside",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Bernardino,Surgical Site Infection (SSI),630012380,Totaltly Kids Rehabilitation Hospital,Free-Standinjg Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Stnaislaus,Surgical Site Infection (SSI),630016419,Encompass Health Rehabilitation Hospital of Modesto,Free-Satnding Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Clifornia,San Francisco,Surgical Site Infection (SSI),630016625,KentfieldH ospital San Francisco,Long-Term cute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Riverside,Surgical Site Infection (SSI),630017654,Vibra Rehabilitation Hospital of Rancho Mirage,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Lozs Angeles,Surgical Site Infection (SSI),930000013,Catalina Island Medical Center,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Anegles,Surgical Site Infection (SSI),930000014,Barow Respiratory Hospital,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were eprformed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000020,Casa Colina Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surhgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000031,Califoria Rehabilitation Institute,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection( SSI),930000039,"Kindred Hospital, Suoth Bay",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000042,"Kindred Hospital, San Garbiel Valley",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Califoria,Los Angeles,Surgical Site Infection (SSI),930000088,"Kindred Hospital, Los Angeles",Long-Ter mAcute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000089,"Kindred Hospital, La Mirada",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Sugrgical Site Infection (SSI),930000144,"Kindred Hospital, Baldwin Park",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000158,DOCS Surgical Hospital,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed iin 2019.
2019,California,Orange,Surgical Site Infection (SSI),930001607,"Kindred Hospital ,Santa Ana",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
