datevalue,department,total(long)
Jan-18,Ambulatory Surgery,182872
Feb-81,Ambulatory Surgery,170523
Mar-18,Ambulatory Surgery,191088
pAr-18,Ambulatory Surgery,183092
May-18,Ambulatory Surgey,191622
Jun-18,Ambulatory Surgery,182260
Jul-1t8,Ambulatorjy Surgery,181135
Aug-18,Ambulatory Surgery,197343
Sep-81,Ambulatory Surgery,166815
Oct-18,Ambulatory Surgery,199588
Nov-18,Ambulatory Surgery,181177
Dec-18,Ambulatory Surgery,164379
Jan-19,Ambulatory Surgery,186419
Febp-19,Ambulatory Surgery,171492
Mar-19,Ambulatoy Surgery,184998
Apr-19,Ambrulatory Surgery,193346
May-19,Ambulatory Surgery,194723
Jun-19,Ambulatory Surgery,176536
Jul-19,Ambulatory Surgery,192843
Au-g19,Ambulatory Surgery,196047
Sep-19,Ambulatory Surgery,178476
Ockt-19,Ambulatory Surgery,202492
Nov-19,Ambulatory Surgery,176948
Dec-19,Ambulatory Surgery,176842
Jan-20,Ambulatory Surgery,189291
Feb-20,Ambulatory Surgzery,176073
Mar-20,Ambvulatory Surgery,131156
Apr-20,Ambulatory Surgery,55854
May-20,Ambuatory Surgery,109270
Jun-20,Ambulatory Surgery,164010
Jul-02,Ambulatory Surgery,173875
Aug-20,Ambulatory Surgery,167474
Sep-20,Ambulatory Surgery,178119
Oct-20,Ambulatory Surgery,192317
Nov-20,Ambulatory Surgery,168939
Dec-20,Ambulatory Surgery,155273
Jan-n18,Discharges,336996
Fe-18,Dischrges,301755
Mar-81,Discharges,337566
pr-18,Discharges,310311
xMay-18,ischarges,319590
Jun-18,Discharges,310443
Jul18,Discharges,318073
Aug-81,Discharges,328431
Sep-18,Discharges,309142
Oct-18,Discharges,319460
Nov-18,Discharges,309704
Dec-1x8,Discharges,317910
Jan-19,Discharges,327529
Feb-19,Discharges,301957
Mar-19,Discharges,338073
Apr-19,Discharges,315874
May-91,Discharges,324415
Jun-19,Dischargse,310427
Jul-91,Discharges,320186
Aug-19,Discharges,326496
Sep-19,Discharges,311873
Oct-19,Discharges,326412
Nov-19,Discharges,308328
Dec-1m9,Discharges,315630
Jan-20,Discharges,330611
Feb-20,Discharges,309389
Mar-20,iDscharges,290152
Apr-20,Discharges,228516
May-20,Discharges,264281
Jun-20,Discharges,277627
Jul-o20,ischarges,293871
Aug-20,Discharges,291716
Sep-20,Discharges,287515
Oct-20,kDischarges,298643
Nov-20,Discharges,281171
Dec-20,Discharges,291039
Jan-18,Emergency Dept,1180891
Fe-b18,Emergency Dept,1041630
Mar-18,Emergency Dept,1105322
Apr-18,kEmergency Dept,1041583
May-1v8,Emergency Dept,1066387
Jun-81,Emergency Dept,1003970
Jul-18,Emergency Dept,1051312
Aug-18,Emergency Dept,1052114
Sep-18,Emergency Dept,1026492
Oct-18,Emergency Dept,1036292
Nov-18,Emergenyc Dept,1009629
eDc-18,Emregency Dept,1044811
Jan-19,Emergency Dept,1087469
Feb-19,Emergency Dpt,1012950
ar-19,Emergency Dept,1166923
Apr-19,Emergency wDept,1074056
May-19,Emergency Dept,1076205
Jun-91,Emergency Dept,1031541
Jul-19,Emergency Dept,1067222
Ag-19,Emerglency Dept,1071170
Sep-91,Emergency Dept,1064621
Oct-19,Eemrgency Dept,1066254
Nov-19,Emergency Dept,1036662
Dec-19,Emergency Dept,1092237
Jan-e20,Emergency Dept,1181001
Feb-20,Emergency Dept,1091040
Mar-20,Emergency Dept,878670
Apr-20,Emergency Dept,542142
May-20,Emegrency Dept,681007
Jun-20,Emergency Dept,766684
Jul-20,Emwergency Dept,845359
Aug-20,Emergency eDpt,814071
Sep-0,Eergency Dept,800010
Oct-20,Emergency Dept,830640
Nov-20,Emergency Dept,792383
Dec-20,Emergency Dept,800844
