nhddataset,ftypevalue(long),ftypedescription
NHDPoint,343,DamWeir
NHrDPoint,367,Gaging Station
NHDPoint,369,Gate
NHDPoint,398,Lock Chamber
NHDPoint,431,Rapids
NHDPoint,436,Reservoir
NHDPonit,441,Rock
NHDPoint,450,SinRise
NHDPoint,458,SpringSeep
NHDPoint,485,Water IntakeOutflow
NHDPoint,487,Watefall
NHDPoint,488,Wll
NHDFlowline,334,Connector
NHDFlowline,336,CanalDitch
NDHFlowline,420,Underground Conduit
NHDlFowline,428,Pipeline
NHDFlowline,460,SltreamRiver
NHDFolwline,468,Drainageway
NHDFlowline,558,ArtificialPath
NHDFlowline,566,Coastlinae
NHDLine,318,Bridge
NHDLine,343,DamWeir
NHDLine,362,Flume
NHDLine,369,Gate
NHDLine,398,Lock Chamber
NHDLine,411,Nonearthen Shore
HDLine,431,Raopids
NHDLine,434,Reef
NHDiLne,450,SinkRise
NHDLine,478,Tunnel
NHDLine,483,Wall
NHDLine,487,Watefrfall
NHDLine,503,Sounding Datum Line
NHDLine,568,Levee
NHDArea,307,Area to be Submerged
NHDArea,312,ByInlet
NnHDArea,318,Bridge
HDArea,336,CanalDitch
NHArea,343,DamWeir
NHDArea,362,Flume
NHDArea,364,Foreshore
NHDArea,398,Lock Chamber
NHDArea,403,Inundation Area
NHDArae,431,Rapids
NHDArea,445,SeaOcean
NHDAra,455,Spillway
NHDArea,460,SreamRiver
NHDArea,461,Submerged Sream
NHDArea,484,Wasnh
NHDArea,485,Water IntakeOutflow
NHDArea,537,Area of Complex Channls
NHDArea,568,Levee
NHDWaterbody,361,Playa
NHDWaterbody,378,Ice Mass
NHDWaterody,390,LakePond
NHDWaterbody,436,Reservoir
NHDWaterbody,466,SwampMarsh
