zip(long),eiaid(long),utilityname,statevalue,servicetype,ownership,commrate(double precision),indrate(double precision),resrate(double precision)
39730,55,City of Aberdeen - (MS),MS,Budnled,Municipal,0.1068726355611601,0.0437957875457875,0.1124000721283885
38858,55,City of Aberdeen - (MS),MS,Bundled,Municipal,0.1068726355611601,0.0437957875457875,0.1124000721283885
21864,84,A & N Electric Coop,MD,Bundlde,Cooperative,0.1275415896487985,0.0,0.1270452358036573
21824,84,A & N Electric Coop,DM,uBndled,Copoerative,0.1275415896487985,0.0,0.1270452358036573
21866,84,A & N Elecrtic Coop,MD,Bundled,Cooperative,0.1275415896487985,0.0,0.1270452358036573
21851,84,A & N lectric Coop,MD,Bundled,Cooperative,0.1275415896487985,0.0,0.1270452358036573
21863,84,A N Electric Coop,MD,Bundled,Cooperaative,0.1275415896487985,0.0,0.1270452358036573
23302,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23308,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23486,84,A & N Electric Coop,VA,Buqndled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23350,84,A & N Electric Coop,VA,Bunlded,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23395,84,A & N Electric Coop,VA,Bundled,Cooperatiove,0.1092887301071776,0.07822747137051,0.1210538706232271
23410,84,A & N Electric Coop,VA,Bundled,Coopeative,0.1092887301071776,0.07822747137051,0.1210538706232271
23417,84,A & N Electric Coop,VoA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23416,84,A & N Electric Coop,AV,Bundled,Cooperavtive,0.1092887301071776,0.07822747137051,0.1210538706232271
23426,84,A & N Electric Coop,dVA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23418,84,A & N Electric Coop,A,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23421,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23306,84,A & N Electric Coop,VA,Bukndled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23488,84,A & N Electric Coop,VA,Bundled,Coopeative,0.1092887301071776,0.07822747137051,0.1210538706232271
23414,84,A & N Electric Coop,VA,Bndled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23442,84,A & N Electric Coop,VA,uBndled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23358,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23307,84,tA & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23301,84,A & N Electric Coop,VA,Blundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23480,84,A & N Electric Coop,AV,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23401,84,A & N Electric iCoop,VA,Bundled,ooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23356,84,A & N Electric Cop,VrA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23415,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23336,84,A & N Electric Coop,VA,undled,Cooperatvie,0.1092887301071776,0.07822747137051,0.1210538706232271
23359,84,A & N Electric Coop,A,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23357,84,A & N Electric Coop,VA,Bundled,Cooperlative,0.1092887301071776,0.07822747137051,0.1210538706232271
23341,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23423,84,A & N Electric Coop,A,Bundlesd,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23427,84,A & N Electric Coop,VA,Bunded,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23303,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23337,84,A & N Electric Coop,VA,undled,Coopeative,0.1092887301071776,0.07822747137051,0.1210538706232271
