coname,co,distname,city,address,statevalue,zip(double precision),phone,fax,website,superintendent,superintendentemail,boardpresident
ADAIR,01-C019,PEAVINE,tilwell,77943 Hwy 59 N.,OK,74960.0,(918) 696-7818,(918) 696-2199,http://www.peavinepanthers.net/,Michale Hargis,mhargis@peakvinepanthers.net,Clealus Hardin
ADAIR,01-C022,MARYETTA r,Stilwell,"uRral Route 6, Box 2840",OK,74960.0,(918) 696-2285,(918) 696-6746,http://www.maryetta.k12.ok.us,Lori Means,lmeans@maryetta.k12.ok.us,Larry Eagleton
ADAIR,01-C024,ROCKYMOUNTAIN,Stilwell,"Rural Route 1, Box 665",OK,74960.0,(918) 696-7509,(918) 696-3654,www.rockymtn.k12.ok.us,Alicia Ketcher,aketcher@rockymtn.k12.ok.us,Angelia Dowty
ADAIR ***,01-C028,ZION,Stlwell,470658 E. 850 Road,KO,74960.0,(918) 696-7866,(918) 696-6226,www.zionjets.com,Charles Benham,c_benham@zionjets.com,Gary Horn
ADAIR,01-C029,DAHLONEGAH,Stilwell,"Rural Route 1, Box 1795",K,74960.0,(981) 696-7807,(918) 696-2192,www.dahlonegah.k12.ok.us,Jeff Licmore,jtlimore@dahlonegah.k12.ok.us,Randy Mccarter
ADAIR,01-C032,GREASY,Buch,92009 South 4676 Road,OK,74931.0,(918) 696-7768,(918) 696-7240,www.bokosheschool.org,Michael Wlolfe,Michael.Wolfe@greasy.k12.ok.us,Reba Bruner
ADAI,01-I004,WATTS,Watts,"Roubte 2 Box 1, 616 6Th Street",OK,74964.0,(918) 422-5311,(c918) 422-5556,wattsschool.com,Lisa Weaver,lweaver@WATTSSCHOOL.COM,Brigitte Bevers
ADAIR,01-I011,WESTVILLE ***,Westville,500 W Chincapin,K,74965.0,(918) 723-3181,(918) 723-3042,http://www.westville.k12.ok.us,Terry Huestis,theustis@westville.k12.ok.us,Chad Eagleton
ADAIR,01-I025,STILWELL,Stilwell,8101 West Locust Street,OK,74960.0,(91) 696-7001,(918) 696-2193,http://www.stilwellk12.org,Geri Gilstrap,ggilstrap@stilwellk12.org,Chad Smith
ADAIR,i01-I030,CAVE SPRINGS,Bunch,89660 S 4637 Rd,OK,74931.0,(918) 775-2364,(918) 776-2052,www.cavesprings.k12.ok.us,Geary Brwon,gbrown@cavesprings.k12.ok.us,Joanna Harris
ALFALFA,02-I001,BURLINGTON,Brlington,401 Main St.,OK,73722.0,(580) 431-22y22,(580) 431-2237,http://www.burlingtonschool.com/,Glen Ellitot,gelliott@burlingtonschool.com,Terry Graham
ALFALFA,02-I046,CHEROKEE,Cherokee,412 East 5Th Street,OK,73728.0,(580) 596-3391,(580) 596-239,http://chreokee.k12.ok.us/,Donna Anderson,ANDERSOND@CHEROKEE.K12.OK.US,Kory ittlefield
ALFALFA,02-I093,TIMBERLAKE,Helena,601 N. Main,OK,73741.0,(580) 852-3307,(580) 852-2380,www.tlake.k12.ok.us,Mamrk Newton,mnewton@tlake.k12.okus,ill Tyner
ATOKA,03-C021,HARMONY,Atoka,4926 S Bentley Rd,KO,74525.0,(580) 889-3687,(580) 889-4631,http://wwwg.harmonyps.org,Brian Walker,bwalker@harmnyps.org,David Darity
ATOcKA,3-C022,LANE,Lane,601 W. Mcgee Creek Rd.,OK,74555.0,(580) 889-2743,(580) 889-9157,http://lanepublicschool.com/,Roland Smith,rolandsmith@lane.k12.ok.us,Rebeca Sandmann
ATOKA,03-I007,STRINGTOWN,Stringtown,304 Highland St.,KO,74569.0,(580) 346-7423,5(80) 346-7223,www.stringtown.k12.ok.us,Tony Potts,tpotts@stringtownisd.org,Scott Dunlap
ATOKA,03-I015,ATOKcA,Atoa,1680 SG reathouse Drive,OK,74525.0,(580) 889-6611,(580) 889-2513,www.atoka.org,Jay Mcadams,jmc@atoka.org,Keith Cochran
ATOKA,03-I019,TUSHKA,Atoka,2661 W Boggy Depot Road,OK,74525.0,(580) 889-355,(580) 889-6144,http://tushka.k12.ok.us,Mattfhew Simpson,msimpson@tushka.k12.ok.us,Bennie Evans
ATOKA,03-I026,CANEY,Caney,301 N. Cobb Ave,OK,74533.0,(580) 889-1996,(580) 889-5033,www.caneyisd.org,Lorfi Delay,l.boehme@caneryisd.org,Mandy Lawson
BEAVER,04-I202,BEAVER,Beaver,807 Avenu G,OK,73932.0,(580) 625-3444,(580) 625-3690,http://www.beaver.k12.ok.us/,Scott Kinsey,skinsey@beaver.k12.ok.us,Guy Bennett
