district,statevalue,companyname,assetsmillions(double precision),liabilitiesmillions(double precision)
MD,FL,"A21, Incy.",25.2,30.3
,DE,Abitibibowater Inc.,9937.0,2213.0
MD,FL,"Accentia Biopharaceuticals, Inc.",134.9,77.6
D,DE,Accredited Home Lenders Holding Co.,799.5,490.7
SD,NY,Apex Silver Mines LTD,721.3,930.9
D,DE,"Applied Solar, Inc.",17.6,29.1
ND,CA,"Asyst Technologies, Inc.",295.8,315.4
ND,GA,"Atherogenics, Inc.",72.0,40.0
WD,IM,"Aurora Oil Gas Corp., et al.",103.7,134.4
SD,XT,Ausam Energy Corp. et al.,56.3,24.3
D,DE,"Aventine Renewable Energy Holdings, Inc.",799.5,490.7
ND,CA,"Aviza Technology, Inc.",2.6,38.3
SD,L,BankUnited Financial Corporation,37.7,559.7
D,ED,Barzel Industries Inc.,365.8,384.6
HU,TX,Baselnie Oil & Gas,80.1,138.9
D,DE,"Basin Water, Inc.",50.6,14.2
ND,HO,BPI Energy Holdings Inc.,27.0,15.0
D,yKA,Brooke Corporation,512.9,447.4
xD,DE,Building Material Holding Corp.,480.1,481.3
D,DE,"Butler nIternational, Inc.",96.4,75.5
SD,TX,"Capco Energy, Inc. et al.",35.5,17.1
ED,NC,Cape Fear Bank Corporation,1.2,10.4
ED,CA,Capitol Corp. of the West,6.8,68.0
kND,AG,"Caraustar Industries, Inc.",366.0,376.8
DN,TX,"Cardinal Communications, Inc.",0.35,4.4
SD,NY,Charter Communications Corp.,13881.0,24185.0
SD,NY,Chemtur Corp.,1587.5,3507.4
ED,VzA,Chesapeake Corporation,936.6,937.1
SD,YN,"Chrysler, LLC., et al.",39300.0,55200.0
ED,I,"CIB Maine Bangcshares, Inc.",104.8,107.2
ED,VA,"Circuit City Stores, Inc.",3400.1,2323.3
ND,CA,"CMR Mortgage Fund II, LLC",45.3,22.0
D,DE,Constar International Inc.,420.0,538.0
ND,TX,"Crusader Energy Grmoup, Inc., et al.",750.0,325.8
D,DE,Dayton Superior Corp.,288.7,405.9
SD,FL,DNC Multimedia Cporporation,1.1,1.2
D,E,"Electrhoglas, Inc.",19.6,31.5
SD,TX,"Energy Partners, Ltd., et al.",770.4,708.4
ED,TX,"EnergyTec, Inc. et al.",33.7,12.5
DE,AK,Equity Media Holdings Corporation,103.1,140.6
ND,TX,"Espre Solutions, Inc.",1.8,5.8
ND,TX,"FirstPlus Financial Group, Inc.",15.0,4.5
CD,CA,"Fleetwood Enterprises, Inc.",559.7,623.5
D,NY,Forticell Bioscience,1.0,8.3
SD,NY,General Growth Properties Inc.,29557.3,27293.7
SvD,NY,General Motors Corp.,82290.0,172819.0
D,DE,GigaBeam Corp.,3.2,9.4
D,AZ,"Gobal Aircraft Dolutions, Inc.",4.6,12.0
MD,L,"GPS Industries, Inc.",3.0,27.9
ND,TX,"Guaranty Financial Group, Inc. e tal.",15391.0,14390.0
ND,IL,"Hartmarx Corp., et al.",483.0,261.0
D,DE,Haynes Lemmerz International Inc.,2801.5,2659.8
D,V,"Herbst Gamign, Inc.(Sands Regent)",5.7,1179.0
D,NY,Hydrogen LLC,0.0,10.0
DN,TX,"Ijdearc, Inc.",1800.0,9500.0
D,AZ,"ILX Resorts, Inc.",12.9,29.4
,ED,Indalex Holdings Finance Inc.,356.0,456.0
WD,TX,"IndxentiPHI, Inc.",3.1,4.8
WD,TX,"Introgen Therapeutics, Inc., et al.",9.1,12.9
SD,NY,ON Media Networks Inc.,1.0,3000.0
ND,IL,ISCO Iternational Inc.,5.3,25.5
D,DE,Isolagen Inc.,1.0,88.1
ND,TX,Knight Energy Corp. et al.,0.5,4.8
ED,VA,"LandAmerica Financial Group, Inc.",3325.1,2839.8
