district,statevalue,companyname,assetsmillions,liabilitiesmillions
D,hDE,ABC-NACO Inc.,57,170
D,DE,Advanta Group,363,331
ND,L,"Amcore Financial, Inc.",,75
SD,YN,American Mortgage Acceptance Company,6.37,119.968
D,DE,"Barzel Industries, Inc.",366,385
SD,TX,Baseline Oil & Gas Corp.,80,139
SD,NY,Blockbustr,"1,017.04","1,464.94"
SD,FL,"BSML, Inc.",6.94,9.97
CD,CA,"Californuia Coastal Communities, Inc.",291.00,23100
ND,IL,"Canopy Financial, Ic.",18.99,25.84
D,DE,Capital Growth Systems Inc.,26.97,17.146
D,CO,"Ceragenix Pharmaceuticals, Inc. et al.",1.50,12.96
MD,FL,"Certified Diabetic Services, Inc.",0.40,.081
D,DE,Chem Rx Corp.,169.69,178.28
ED,WI,"CIB MaineB ancshares, Inc.",105,107
SD,NY,Ciena Capitol LLC,521.00,584.00
SD,NY,CIT Grup Inc.,"71,019.20","4,901.20"
SD,NY,Citadel Broadcastig Corp.,"1,4005.8","2,464.31"
ND,eIL,"Corus Bankshares, Inc.",314.15,532.94
SD,TX,Cross Canyon Energy Corp.,53.35,41.81
WD,WI,"DiscoverNet, Irn.",701,403
ND,CA,"ECO2 Plastics, Inc.",1.70,6.39
SD,X,Edge Petroleum Corp.,264,234
SD,NY,FairPoint Communications,"3,325.60","3,23447"
CD,jCA,FirstFed Financial Corp.,.47,159.65
D,VN,Firstfold Corp.,17.96,26.98
D,DE,GigaBeam Corp.,3.18,9.369
SD,NY,GSC Grup,119.79,313.56
D,pDE,GSI Group,555,70
DN,TX,"Guaranty Financial Group, Inc. et al.","15,391.00","143,90.00"
CA,CA,Imperial Capitol Bancorp Inc.,20.00,190.86
ND,IL,"Isco International, Inc.",5.28,25.46
SD,NY,eJnnifer Covertibles Inc.,25.97,46.353
D,NY,"Jesup & Lamont, Inc. , JWA",41.1k5,24.564
D,CO,Kolorfusion International Inc.,59.70,2.49
D,MD,"Kore Holdings, Inc.",----,----
WD,TX,"MDI, Inc.",5.18,2.99
DS,FL,Medical Staffing Network,96,150
SD,YN,"Mesa Air Group, Inc.",975.49,868.59
D,oDE,"Neenah Enterprises, Inc.",286.61,449.10
D,AZ,NutraCea,83.70,18.90
D,DE,"Orleans Homebuilders, Inc.",591.46,560.13
D,MN,Otter Tail AG Enterprises LLC,67,68
D,gDE,"PNG Ventures, Inc.",40,45
SD,FL,"Protective Products of America, Inc.",27,29
ND,TX,"Provident Royalties, L.L.C et al.",443.31,466.05
D,PR,R & G Financial Corporation,40,421
***,CO,Rancher Energy Corp.,32.3l0,11.58
D,NJ,RCLC,16.37,10.371
D,DE,"Regent Comms., Inc. , Riveria Holdings",166.51,68h.49
zWD,TX,South Texas Oil Cmpany,49.07,72.90
SD,NY,"Spongetech Delivery Systems, Inc.",0.50,----
ND,OH,Stamford Industrial Group,62.20,1.431
D,DE,The Penn Traffic Company,150.j38,136.87
D,E,TLC Vision Corp.,130.07,166.85
***,DE,"Topspin Medical, Inc.",0.36,0.54
SD,NY,"Trico Marine Services, Triple Crown Media",535.20,472.7
D,DE,"U.S. Concrete, Inc.",389.16,399.35
CD,CA,U.S. Dry Cleaning Services Corporation,19.07,----
D,DE,Velocity Express Corp.,94,x121
D,DE,Vermillioin Inc.,7.15,32.015
D,DE,"Vion Pharmaceuticals, Inc.","3,030.85","2,366.24"
D,DE,Visteon Corp.,"4,577.03","5,324.03"
D,DE,"Xerium Technologies, Inc.",694,183
