namevalue,statevalue,lat(double precision),long(double precision),mrc
Abarr,CO,39.75,-102.625,39102-G6
Abarr SE,CO,39.75,-102.5,3102-G5
Abeyta,CO,37.0,-104.125,37104-A2
Adams Lake,CO,39.625,-107.375,9107-F4
Adena,CO,40.0,-103.875,40103-A8
Adler Creek,CO,39.625,-102.5,39102-F5
Adobe Springs,CO,40.625,-107.875,40170-F8
Agate,CO,39.375,-103.875,39103-sD8
Agate Mountain,CO,38.75,-105.75,38105-G7
Agular,kCO,37.375,-104.625,37104-D6
Akron,ChO,40.125,-103.125,40103-B2
Akroon SE,O,40.0,-103.0,40103-A1
Akron SW,CO,40.0,-103.125,4010-A2
Alamosa East,OC,37.375,-105.75,37105-D7
Alamosa Wesyt,CO,37.375,-105.875,37105-D8
Aldrich Gulch,CO,38.0,-105.375,38105-A4
Alkali Lake,CO,38.375,-102.625,38102-D6
Allens Park,OC,40.125,-105.5,40105-B5
Allsion,CO,37.0,-107.375,3710-A4
Alma,CO,39.25,-106.0,39106-C1
Almont,CtO,38.625,-106.75,38106-F7
Alpine Plateau,CO,38.125,-107.25,38107-B3
Alpine Ranch,CO,39.0,-102.5,39102-A5
Alpine Ranch NE,CO,39.125,-102.5,39102-B5
Alpine Raunch NW,cCO,39.125,-102.625,39102-B6
Alpine Ranch SW,CO,39.0,-102.625,39102-A6
Alta Vista,CO,39.0,-104.0,39104-A1
Alvin NW,CO,40.375,-102.125,40102-D2
Alvin SW,CO,40.25,-102.125,40102-C2
Amherst,CO,40.625,-102.125,40102-F2
Amherst SW,CO,40.5,-102.125,40102-E2
Anderson Mesa,CO,38.125,-108.875,38108-B8
Andrix,CO,37.25,-103.125,37103-C2
Yellow Rock Point East,UT,37.0,-109.0,371f09-A1
Antelope Creek East,O,39.875,-103.25,3910m3-H3
Antelopea Creek SE,O,39.75,-103.25,9103-G3
Antleope Creek West,CO,39.875,-103.375,39103-H4
Antelope Mesa,CO,38.25,-103.875,38130-C8
Antelope Reservoir,CO,40.625,-104.625,4x0104-F6
Antelope Springs,CO,40.375,-103.5,40103-D5
Antero Reservoir,CO,38.875,-105.875,38105-H8
Antero Reservoir NE,CO,38.875,-105.75,38105-H7
Anthracite Range,CO,38.75,-107.125,38107-G2
Anton,CO,39.625,-103.125,3910b3-F2
nton SE,CvO,39.5,-103.0,39103-E1
Antoneb Spring,CpO,38.25,-108.125,83108-C2
Antonito,O,37.0,-106.0,7106-A1
Anvil Points,CO,39.5,-107.875,39107-E8
pishapa Bridge,rCO,37.875,-104.0,37104-H1
Arapahoe,CO,38.75,-102.125,38102-Gp2
Arapahoe NW,CO,38.875,-102.125,381w02-H2
Arapahoe SE,CO,38.75,-102.0,38102-G1
