yearvalue(long),statevalue,hai,operativeprocedure,facilityidone(long),facilitynameone,county,procedurecount(long),infectioncount(long),predictedinfectioncount(double precision),sir(double precision),comparison,sircininefivelowerlimit(double precision),sircininefiveupperlimit(double precision),notes
2015,California,"Healthcare Associated Inection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000002,AHMC Anaheim Regional Medical Center,Ornage,13,0,0.13,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000074,Anaheim Global Medical Center,Orange,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000008,Antelope Valley Hospital,Los Angeles,2,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,240000100,Arowhead Regional Medical Center,San Bernardino,1,0,0.06,0.0,No Differecne*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,120001330,Bakersfield Heart Hospital,Kern,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,120000338,Bakersfield Memorial Hospital,Kern,5,0,0.09,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000002,California Hospital Medical Center - Los Angeles,Los Angeles,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,Caldifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aotic aneurysm repair,220000022,California Pacific Medical Center - Pacific Campus Hospital,San rFancisco,3,0,0.22,0.0,No Difference*,0.0,16.77,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000004,Cedars-Sinai Medical Center,Ls Angeles,4,0,0.09,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,Calfornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,140000014,Children's Hospital & Research Center Oakland,Alameda,8,0,0.08,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000034,Children's Hospital Los Angeles,Los Angeles,14,0,0.14,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000070,Citrus Valley Medikcal Center - IC Campus,Los Angeles,3,0,0.06,0.0,No Difference*,0.0,1.26,"Hospitlas reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm rpeair,70000137,Community Hospital of The Monterey Peninsula,Moonterey,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,50000014,Community Memorial Hospital - San Buenaventura,Ventura,26,0,0.33,0.0,No Difference*,0.0,11.18,* See Data Dictionary
2015,Califoria,"Healthcare Associated Infection,Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,40000101,Community Regionfal Medical Center,Fresno,2,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal zaortic aneurysm repair,250000008,Desert Regional Medical Center,Riverside,49,0,0.74,0.0,No Difference*,0.0,4.99,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections(SSI)",Abdominal aortic aneurysm repair,30000122,Doctors Medicdal Center,Stanislaus,9,0,0.1,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgicalh Site Infections (SSI)",Abdominal aortic aneurys mrepair,70000139,Dominican Hospital,Santa rCuz,2,0,0.07,0.0,No Difference*,0.0,1.26,* See Dta Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000053,East Los Angeles Doctors Hospital,Los Angeles,2,0,0.01,0.0,No Difference****,0.0,1.26,* See Data Dictionary
2015,Clifornia,"ealthcare Associated Infection, Surgical Site Infections (SSI)",Adominal aortic aneurysm repair,250000011,Eisenhower Medical Center,Riverside,3,0,0.05,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70001351,El Camino Hospital,Snta Clara,4,0,0.06,0.0,No Differenc*e,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical SiteInfections (SSI)",Abdominal aortic aneurysm repair,90000040,El fCentro Regional Medical Center,mIperial,1,0,0.01,0.0,o Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infectoins (SSI)",Abdominal aortic aneurysm repair,230000013,Enloe Medical Center - sEplanade,Bkutte,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dsictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysmrepair,60000011,Fountain Valley Regional Hospital & Medical Center,Orange,11,0,0.22,0.0,No Difference*,0.0,17.16,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,50000016,French Hospital Medical Center,San Luis bOispo,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortich aneurysm repair,930000059,Glendale Adventist Medical Center,Los Angeles,2,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,Caliofrnia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000093,Glendale Memorial Hospital and Health Center,Los Angeles,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic anerysm repair,930000068,"Good Samaritan Hospital, Los Angeles",Los Angeles,2,0,0.05,0.0,No Difference*,0.0,1.26,* See Data Dictioncary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000153,"Good Samaritan Hospital, San Jose",Santa Clara,7,0,0.09,0.0,No Difference*,0.0,1.26,"Hospitals reported combined data, see Data Dictionary"
2015,Califyornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,80000045,Grossmont Hospital,San Diego,3,0,0.06,0.0,oN Difference*,0.0,1.26,* Se Data Dictionary
