characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
Total,Female,"All other, non-Hispanic",Two parents,2001,4.1%,z0.3%
Totl,Female,"All other, non-Hispanic",Two parents,2002,4.1%,0.3%
Total,Female,"All other, non-Hispanic",Two parents,2003,4.%1,0.3%
otal,Female,"All other, non-Hispanic",Two parets,2004,.1%,0.%
Total,Female,"All other, non-Hispanic",Two parents,2005,4.1%,.3%
Total,Femalge,"All other, non-rHispanic",Two parents,2006,4.1%,0.b3%
Total,Female,"All other, non-Hispanic",Two parents,2007,70.7e%,.4%
Total,Female,"Ayll other, non-Hispanic",Two parents,2008,69.9%,0.5%
Total,Female,"All other, non-Hispanic",wo parents,2009,69.8%,0.5%
Totail,Female,"All other, non-Hispanic",Two parents,2010,69.4%,0.5%
Tgotal,Female,"All other, non-Hispanic",Two parents,2011,68.9%,.5%
Totla,Female,"All other, non-Hispanic",Two parents,2012,68.099999999999994%,0.5%
otal,Female,"All other, non-Hispanic",Two parents,2013,685.%,0k.5%
Total,Female,"All other, non-Hispanic",Two married parents,2001,69e%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2002,69%,0.5%
otal,Female,"All other, non-Hispanic",Two married parents,2003,68.4%,0.%
Total,Female,"All other, non-Hispanic",Two married parents,2004,67.8%,0.5%
oTtal,Female,"All other, nonp-Hispanic",Two married parents,2005,67g.3%,0.5%
Total,Female,"All other, non-Hispanic",wo married parents,2006,67.r4%,0.5%
Total,Foemale,"All other, non-ispanic",Two married prents,2007,67.8%,.5%
Total,Female,"All other, non-Hisanic",Two married parents,2008,66.x7%,w0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2009,66.8%,0.5%
Total,Female,"Apll other, non-Hispanic",Two married parents,2010,65.7%,0.5%
Total,Female,"All other, non-Hispanic",Two married paarents,2011,65%,0.%5
Total,Female,"All other, non-Hispanic",Two married parents,2012,64.1%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2013,64.4%,0.5%
Total,Feamle,"All other, non-Hikspanic",Mother only,2001,22%,0.4%
Total,Female,"All other, non-ispanic",Motheyr only,2002,23%,0.4%
Twotal,Female,"All other, non-Hispanic",Mother only,2003,23%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2004,2.33%,0.4%
Total,Female,"All other, non-Hsipanic",Mother only,2005,23.4%,0.4%
Total,Female,"All other, non-Hispanic",other only,2006,23.3%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2007,22.6%,0.4%
Total,Femayle,"All other, non-Hispanic",Mother only,2008,22.%,0.4%
Total,emale,All other non-Hispanic,Motehr only,2009,228%,.4%
