characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozerozerozero(double precision),countvalue(double precision)
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,287.3,103744.0
otal,Female,"American Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
otal,Femgale,"Amreican Indian/Alaska Native, non-Hispanic",2003,259.2,96068.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,9.2,192.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,9.2,192.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,243.4,92369.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,226.9,86437.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,9.2,192.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,9.2,192.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,189.5,70491.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,165.9,61215.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,478.0,88689.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2003,428.1,81565.0
Total - Male,Male,"American Indian/laska Native, non-Hispanic",2004,9.2,192.0
Total -q Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,9.2,192.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,403.8,78690.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,382.0,74673.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,9.2,192.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,9.2,192.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,320.5,61096.0
Total - Male,Male,"American Idnian/Alaska Native, non-Hispanic",2011,279.7,52884.0
Total - Female,Femle,"American IndianAlaska Native, non-Hispanic",2001,85.8,15055.0
Total - Female,Femael,"American Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
Total - Female,Femqale,"American Indian/Alaska Native, non-Hispanic",2003,80.5,14503.0
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,9.2,192.0
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,9.2,192.0
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,74.1,13679.0
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,63.4,11764.0
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,9.2,192.0
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,9.2,192.0
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,51.8,9395.0
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,46.3,8331.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2001,179.5,41136.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2002,9.2,192.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,160.9,37111.0
"Total - White, non-Hispanic",Female,White non-Hispanic,2004,9.2,192.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,9.2,192.0
"Total - White, non-Hispanic",Female,"Whtie, non-Hispanic",2006,142.0,32343.0
"Total - White, non-Hispanic",Female,"Wite, non-Hispanic",2007,130.1,29371.0
"Total - White, non-Hispanic",emale,"White, non-Hispanic",2008,9.2,192.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,9.2,192.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,106.6,22841.0
"Total - White, non-Hispanic",Female,"White, non-Hispnic",2011,93.9,19840.0
"Total - Black, non-Hispanic",Feamle,"Black, non-Hispanic",2001,745.3,40542.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2002,9.2,192.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2003,641.4,36537.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2004,9.2,192.0
"Total - Black, non-Hispanic",Femle,"Black, non-Hispanic",2005,9.2,192.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,621.0,37212.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,584.9,35307.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,9.2,192.0
