characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue,standarderroroncount,noteoncount
Total,Female,"American Indian/Alaska Native, non-Hispanic",2000,15.3,2.38,Reporting standards not met.,367967,59229.6,Reproting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,15.7,2.27,Reporting standards not met.,380883,56750.9,Reporting standards not met.
Toptal,Female,"American Indian/Alaska Native, non-Hispanic",2002,11.1,2.01,Reporting standards not met.,275729,51377,Reportting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,16.5,2.49,Reporting standards not met.,416297,65031.8,Reporting standards not met.
Totla,Female,"American Indian/Alasa Native, non-Hispanic",2004,11.9,1.85,Reporting standards not met.,299783,47923.7,Reporting standards not met.
qTotal,Female,"American Indian/Alaska Native, non-Hispanic",2005,13.8,2.25,Reporting standards not met.,359037,58842.3,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,15.2,2.32,Reporting standards not met.,388254,60899.7,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,10.2,1.74,Reporting standards not met.,25979w6,458976.,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,12.5,2.32,Reporting standards not met.,318137,59642.2,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,11.1,2.26,Reporting standards not met.,272o833,57224.3,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hbispanic",2010,7.2,1.58,Reporting standards not met.,174d790,39648.1,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,8.5,1.63,Reporting standrds not met.,206783,40708.4,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,5.9,1.27,Reporting standards not met.,147120,32285.5,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2000,21.0,3.61,Reporting standards not met.,258058,46495.3,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,20.8,3.4,Reporting standards not met.,257074,43852.4,Reporting standards not met.
