doi,title,title_cn,abstract,abstract_cn
10.1038/nphoton.2015.174,Made in America,美国制造 ,,
10.1038/nphoton.2015.157,SESAME for science and peace,芝麻科学与和平 ,,
10.1038/nphoton.2015.168,Ultrasonic lens,超声波镜片 ,,
10.1038/nphoton.2015.169,Hybrid interference,混合干扰 ,,
10.1038/nphoton.2015.170,Magneto measurements,电磁测量 ,,
10.1038/nphoton.2015.171,Winding polaritons,缠绕极化子 ,,
10.1038/nphoton.2015.172,Artificial magnetic fields,人造磁场 ,,
10.1038/nphoton.2015.155,Visible light from inelastic tunnelling,非弹性隧道的可见光 ,,
10.1038/nphoton.2015.163,Turning the tables on nonlinearity,扭转非线性 ,,
10.1038/nphoton.2015.167,Magnetic opportunities,良机 ,,
10.1038/nphoton.2015.158,Cellular lasers,蜂窝激光器 ,,
10.1038/nphoton.2015.161,Predicting the unpredictable?,不可预测？ ,,
10.1038/nphoton.2015.140,Guidestar-assisted wavefront-shaping methods for focusing light into biological tissue,Guidestar辅助的波前整形方法，可将光聚焦到生物组织中 ,,
10.1038/nphoton.2015.129,Intracellular microlasers,细胞内微激光 ,,
10.1038/nphoton.2015.139,Ab initio quantum-enhanced optical phase estimation using real-time feedback control,使用实时反馈控制的从头算起量子增强光学相位估计 ,,
10.1038/nphoton.2015.141,Electrically driven optical antennas,电动光学天线 ,,
10.1038/nphoton.2015.132,Direct optical nanoscopy with axially localized detection,直接光学纳米显微镜，轴向局部检测 ,"<p>Evanescent light excitation is widely used in super-resolution fluorescence microscopy to confine light and reduce background noise. Here, we propose a method of exploiting evanescent light in the context of emission. When a fluorophore is located in close proximity to a medium with a higher refractive index, its near-field component is converted into light that propagates beyond the critical angle. This so-called supercritical-angle fluorescence can be captured using a high-numerical-aperture objective and used to determine the axial position of the fluorophore with nanometre precision. We introduce a new technique for three-dimensional nanoscopy that combines direct stochastic optical reconstruction microscopy (dSTORM) with dedicated detection of supercritical-angle fluorescence emission. We demonstrate that our approach of direct optical nanoscopy with axially localized detection (DONALD) typically yields an isotropic three-dimensional localization precision of 20&#8197;nm within an axial range of &#8764;150&#8197;nm above the coverslip.</p>",<p> E逝光激发广泛用于超分辨率荧光显微镜中，以限制光并降低背景噪声。在这里，我们提出一种在发射环境中利用exploit逝光的方法。当荧光团紧邻具有较高折射率的介质时，其近场分量将转换为传播超过临界角的光。可以使用高数值孔径的物镜捕获这种所谓的超临界角荧光，并用于以纳米精度确定荧光团的轴向位置。我们介绍了一种新的三维纳米技术，它将直接随机光学重建显微镜（dSTORM）与超临界角荧光发射的专用检测相结合。我们证明了采用轴向局部检测（DONALD）的直接光学纳米技术的方法通常在盖玻片上方＆＃8764; 150＆＃8197; nm的轴向范围内产生20＆＃8197; nm的各向同性三维定位精度。 / p> 
10.1038/nphoton.2015.137,Mode-locked dark pulse Kerr combs in normal-dispersion microresonators,正色散微谐振器中的锁模暗脉冲Kerr梳 ,"<p>The generation of Kerr frequency combs in a coherently driven nonlinear microresonator is now extensively investigated more generally by the research community as a potentially portable technology for a variety of applications. Here, we report experiments in which dark pulse combs are formed in normal-dispersion microresonators with mode-interaction-assisted excitation, and mode-locking transitions are observed in the normal-dispersion regime. The mode-interaction-aided excitation of dark pulses appears to occur through a deterministic pathway, in sharp contrast to the situation for bright pulses in the anomalous dispersion region. The ability to mode-lock in the normal-dispersion regime increases the freedom in the microresonator design and may make it possible to extend Kerr comb generation into the visible, where material dispersion is likely to dominate.</p>",<p>相干驱动的非线性微谐振器中Kerr频率梳的产生现在已被研究界更广泛地研究，作为可能用于各种应用的便携式技术。 在这里，我们报告的实验中，在具有模式相互作用辅助激励的正常分散微谐振器中形成了暗脉冲梳，并且在正常分散状态下观察到了锁模跃迁。 暗脉冲的模式交互辅助激发似乎是通过确定性路径发生的，这与反常色散区域中亮脉冲的情况形成鲜明对比。 在正常色散状态下锁模的能力增加了微谐振器设计的自由度，并且有可能将Kerr梳子的产生扩展到可见光中，在可见光中，材料的色散很可能占主导。</ p> 
10.1038/nphoton.2015.142,Plasmon-induced resonance energy transfer for solar energy conversion,等离子体激发的共振能量转移用于太阳能转化 ,"<p>In F&#246;rster resonance energy transfer (FRET), energy non-radiatively transfers from a blue-shifted emitter to a red-shifted absorber by dipole&#8211;dipole coupling. This study shows that plasmonics enables the opposite transfer direction, transferring the plasmonic energy towards the short-wavelength direction to induce charge separation in a semiconductor. Plasmon-induced resonance energy transfer (PIRET) differs from FRET because of the lack of a Stoke's shift, non-local absorption effects and a strong dependence on the plasmon's dephasing rate and dipole moment. PIRET non-radiatively transfers energy through an insulating spacer layer, which prevents interfacial charge recombination losses and dephasing of the plasmon from hot-electron transfer. The distance dependence of dipole&#8211;dipole coupling is mapped out for a range of detuning across the plasmon resonance. PIRET can efficiently harvest visible and near-infrared sunlight with energy below the semiconductor band edge to help overcome the constraints of band-edge energetics for single semiconductors in photoelectrochemical cells, photocatalysts and photovoltaics.</p>",<p>在F＆R共振能量转移（FRET）中，能量通过偶极偶极耦合从蓝移的发射器非辐射地转移到红移的吸收器。这项研究表明，等离子体激元实现了相反的传输方向，将等离子体激元能量向短波长方向传输，从而在半导体中引起电荷分离。等离子体激元引起的共振能量转移（PIRET）与FRET有所不同，这是因为缺少斯托克频移，非局部吸收效应以及对等离子体激元相移速率和偶极矩的强烈依赖性。 PIRET通过绝缘间隔层非辐射地传输能量，这可以防止界面电荷复合损失和等离子体激元从热电子传输中移相。偶极子偶极耦合的距离相关性针对整个等离激元共振的失谐范围而绘制。 PIRET可以有效地收集能量低于半导体能带边缘的可见光和近红外光，以帮助克服光电化学电池，光催化剂和光伏电池中单个半导体的能带边缘能学限制。</ p> 
10.1038/nphoton.2015.150,Inverse four-wave mixing and self-parametric amplification in optical fibre,光纤中的逆四波混频和自参数放大 ,"<p>An important group of nonlinear processes in optical fibre involve the mixing of four waves due to the intensity dependence of the refractive index. It is customary to distinguish between nonlinear effects that require external/pumping waves (cross-phase modulation and parametric processes such as four-wave mixing) and those arising from self-action of the propagating optical field (self-phase modulation and modulation instability). Here, we present a new nonlinear self-action effect&#8212;self-parametric amplification&#8212;which manifests itself as optical spectrum narrowing in normal dispersion fibre, leading to very stable propagation with a distinctive spectral distribution. The narrowing results from inverse four-wave mixing, resembling an effective parametric amplification of the central part of the spectrum by energy transfer from the spectral tails. Self-parametric amplification and the observed stable nonlinear spectral propagation with a random temporal waveform can find applications in optical communications and high-power fibre lasers with nonlinear intracavity dynamics.</p>",<p>由于折射率的强度依赖性，光纤中的一组重要的非线性过程涉及四波的混合。通常区分需要外部/泵浦波的非线性效应（交叉相位调制和参量过程，例如四波混频）和由传播光场的自作用引起的非线性效应（自相位调制和调制不稳定性） 。在这里，我们提出了一种新的非线性自作用效应，即自参量放大，表现为正常色散光纤中的光谱变窄，从而导致非常稳定的传播并具有独特的光谱分布。变窄是由反向四波混频引起的，类似于通过从光谱尾部进行能量转移对光谱中心部分进行有效的参数放大。自参量放大和观察到的具有随机时间波形的稳定的非线性光谱传播可以在具有非线性腔内动力学的光通信和高功率光纤激光器中找到应用。</ p> 
10.1038/nphoton.2015.153,Boson sampling for molecular vibronic spectra,玻色子取样的分子振动光谱 ,"<p>Controllable quantum devices open novel directions to both quantum computation and quantum simulation. Recently, a problem known as boson sampling has been shown to provide a pathway for solving a computationally intractable problem without the need for a full quantum computer, instead using a linear optics quantum set-up. In this work, we propose a modification of boson sampling for the purpose of quantum simulation. In particular, we show that, by means of squeezed states of light coupled to a boson sampling optical network, one can generate molecular vibronic spectra, a problem for which no efficient classical algorithm is currently known. We provide a general framework for carrying out these simulations via unitary quantum optical transformations and supply specific molecular examples for future experimental realization.</p>",可控量子设备为量子计算和量子模拟打开了新的方向。 近来，已显示出称为玻色子采样的问题，提供了一种无需使用完整的量子计算机即可解决计算上难以解决的问题的途径，而无需使用线性光学量子设置。 在这项工作中，我们建议对玻色子采样进行修改，以进行量子模拟。 特别地，我们表明，通过耦合到玻色子采样光学网络的光的压缩状态，可以生成分子振动光谱，这是目前尚无有效经典算法的问题。 我们提供了通过unit量子光学转换进行这些模拟的通用框架，并提供了具体的分子实例，供将来的实验实现。</ p> 
10.1038/nphoton.2015.148,"Correction: Corrigendum: Wide-field, high-resolution Fourier ptychographic microscopy",校正：勘误：宽视野，高分辨率傅立叶色谱分析 ,,
