contentType,title,abstract,abstract_google_cn,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,Quantum evolution,,,[],True,[],"Quantum evolution. Nature Photon3, 669 (2009).",406,0,7,aplusplus,10.1038/nphoton.2009.219,https://doi.org/10.1038/nphoton.2009.219,,12,nphoton,nature photonics,1259625600,2009-12-01,,https://www.nature.com/articles/nphoton.2009.219,3
commentary,A bright future for quantum communications,,,"[{""address"": ""Timothy C. Ralph is in the Department of Physics, University of Queensland, Brisbane 4072, Queensland, Australia ralph@physics.uq.edu.au"", ""authors"": [""Timothy C. Ralph""]}, {""address"": ""Ping K. Lam is in the Department of Quantum Science, Australian National University, Canberra, Australia. ping.lam@anu.edu.au"", ""authors"": [""Ping K. Lam""]}]",False,"[""Timothy C. Ralph"", ""Ping K. Lam""]","Ralph, T., Lam, P. A bright future for quantum communications. Nature Photon3, 671–673 (2009).",125,0,27,aplusplus,10.1038/nphoton.2009.222,https://doi.org/10.1038/nphoton.2009.222,,12,nphoton,nature photonics,1259625600,2009-12-01,,https://www.nature.com/articles/nphoton.2009.222,3
commentary,Quantum states made to measure,,,"[{""address"": ""Konrad Banaszek is at the Institute of Theoretical Physics, University of Warsaw, ul. Ho\u017ca 69, PL-00-681 Warszawa, Poland konrad.banaszek@fuw.edu.pl"", ""authors"": [""Konrad Banaszek""]}, {""address"": ""Rafa\u0142 Demkowicz-Dobrza\u0144ski is at the Institute of Physics, Nicolaus Copernicus University, ul. Grudziadzka 5, PL-87-100 Toru\u0144, Poland demko@fizyka.umk.pl"", ""authors"": [""Rafa\u0142 Demkowicz-Dobrza\u0144ski""]}, {""address"": ""Ian A. Walmsley is at the Clarendon Laboratory, University of Oxford, Parks Road, Oxford OX1 3PU, UK. i.walmsely1@physics.ox.ac.uk"", ""authors"": [""Ian A. Walmsley""]}]",False,"[""Konrad Banaszek"", ""Rafa\u0142 Demkowicz-Dobrza\u0144ski"", ""Ian A. Walmsley""]","Banaszek, K., Demkowicz-Dobrzański, R. & Walmsley, I. Quantum states made to measure. Nature Photon3, 673–676 (2009).",134,0,53,aplusplus,10.1038/nphoton.2009.223,https://doi.org/10.1038/nphoton.2009.223,,12,nphoton,nature photonics,1259625600,2009-12-01,,https://www.nature.com/articles/nphoton.2009.223,3
interview,Low uncertainty for an intriguing future,,,[],True,"[""David Pile""]","Pile, D. Low uncertainty for an intriguing future. Nature Photon3, 677 (2009).",29,0,0,aplusplus,10.1038/nphoton.2009.221,https://doi.org/10.1038/nphoton.2009.221,,12,nphoton,nature photonics,1259625600,2009-12-01,,https://www.nature.com/articles/nphoton.2009.221,3
research highlights,Our choice from the recent literature,,,[],False,[],"Our choice from the recent literature. Nature Photon3, 678–679 (2009).",12,0,0,aplusplus,10.1038/nphoton.2009.220,https://doi.org/10.1038/nphoton.2009.220,,12,nphoton,nature photonics,1259625600,2009-12-01,,https://www.nature.com/articles/nphoton.2009.220,3
news & views,Chilling dense atomic gases,,,"[{""address"": ""Mansoor Sheik-Bahae and Denis Seletskiy are at the Department of Physics and Astronomy, University of New Mexico, Albuquerque, New Mexico 87131, USA."", ""authors"": [""Mansoor Sheik-Bahae"", ""\u00a0&\u00a0Denis Seletskiy""]}]",False,"[""Mansoor Sheik-Bahae"", ""Denis Seletskiy""]","Sheik-Bahae, M., Seletskiy, D. Chilling dense atomic gases. Nature Photon3, 680–681 (2009).",14,0,6,aplusplus,10.1038/nphoton.2009.225,https://doi.org/10.1038/nphoton.2009.225,,12,nphoton,nature photonics,1259625600,2009-12-01,,https://www.nature.com/articles/nphoton.2009.225,3
news & views,An ultrafast amplifier,,,"[{""address"": ""Alessandro Tredicucci is at NEST, CNR-INFM and Scuola Normale Superiore, Piazza San Silvestro 12, 56127 Pisa, Italy a.tredicucci@sns.it"", ""authors"": [""Alessandro Tredicucci""]}, {""address"": ""Aldo Di Carlo is at Department of Electronics Engineering, University of Roma 'Tor Vergata', via del Politecnico 1, 00133 Roma, Italy. aldo.dicarlo@uniroma2.it"", ""authors"": [""Aldo Di Carlo""]}]",False,"[""Alessandro Tredicucci"", ""Aldo Di Carlo""]","Tredicucci, A., Di Carlo, A. An ultrafast amplifier. Nature Photon3, 681–682 (2009).",19,0,5,aplusplus,10.1038/nphoton.2009.226,https://doi.org/10.1038/nphoton.2009.226,,12,nphoton,nature photonics,1259625600,2009-12-01,,https://www.nature.com/articles/nphoton.2009.226,3
news & views,A wrench of wavelength,,,"[{""address"": ""Claire Gmachl is at the Department of Electrical Engineering and MIRTHE at Princeton University, Princeton, New Jersey 08544, USA. cgmachl@princeton.edu"", ""authors"": [""Claire Gmachl""]}]",False,"[""Claire Gmachl""]","Gmachl, C. A wrench of wavelength. Nature Photon3, 683–684 (2009).",17,0,0,aplusplus,10.1038/nphoton.2009.227,https://doi.org/10.1038/nphoton.2009.227,,12,nphoton,nature photonics,1259625600,2009-12-01,,https://www.nature.com/articles/nphoton.2009.227,3
news & views,Solar success for Sharp,,,[],True,"[""Oliver Graydon""]","Graydon, O. Solar success for Sharp. Nature Photon3, 684 (2009).",3,0,1,aplusplus,10.1038/nphoton.2009.224,https://doi.org/10.1038/nphoton.2009.224,,12,nphoton,nature photonics,1259625600,2009-12-01,,https://www.nature.com/articles/nphoton.2009.224,3
news & views,Controlling the dipole force,,,"[{""address"": ""Juan Ortigoso and Mirta Rodr\u00edguez are at the Instituto de Estructura de la Materia, CSIC, Serrano 121, 28006 Madrid, Spain."", ""authors"": [""Juan Ortigoso"", ""\u00a0&\u00a0Mirta Rodr\u00edguez""]}]",False,"[""Juan Ortigoso"", ""Mirta Rodr\u00edguez""]","Ortigoso, J., Rodríguez, M. Controlling the dipole force. Nature Photon3, 685–686 (2009).",9,0,3,aplusplus,10.1038/nphoton.2009.228,https://doi.org/10.1038/nphoton.2009.228,,12,nphoton,nature photonics,1259625600,2009-12-01,,https://www.nature.com/articles/nphoton.2009.228,3
