labeling_budget,precision,recall,fscore
77,0.36081104557312543,0.08636746176306734,0.13896106010642462
192,0.3106522303563368,0.14558680010905084,0.1963155555657365
384,0.3536674064884092,0.17638101409363355,0.23447324025165317
576,0.32050861797376073,0.22500819856732504,0.2642984127062976
768,0.3457218801927719,0.2503395984875125,0.29030055964891877
1536,0.3979455195702987,0.2870620680935466,0.33321351747082295
2304,0.5367033933113831,0.37457535372373,0.4411784673108177
3840,0.5680379850427755,0.3955510425021632,0.46632509701290237
7680,0.5908136563752197,0.42722477508267714,0.4958639558820166
11520,0.6059238699621761,0.4396225893248727,0.5095397327681873
15360,0.6130967799552651,0.44559588767765207,0.5160902737802525
