labeling_budget,precision,recall,fscore
77,0.3049158777929511,0.11213743564618539,0.16373632622660642
192,0.4518384907835447,0.29024982911419916,0.3514138051351935
384,0.423979419317108,0.33576511400947473,0.37435916305354977
576,0.49351747307254834,0.3613643996475604,0.4168569584521581
768,0.5161507313962826,0.3445689924257091,0.41313363032287925
1536,0.6167512987133061,0.3513886199934411,0.44763604448817684
2304,0.6227700409292722,0.3568862038855282,0.45372289995421167
3840,0.6369477627288916,0.3749515000414867,0.47203148037363923
7680,0.665057131231913,0.38387944352471226,0.4867665027726029
11520,0.6692129291711735,0.39136206848865834,0.4938793775261428
15360,0.6751464198624558,0.39166077291746515,0.4957373006360373
