labeling_budget,used_labels,precision,recall,fscore,time
9,"[9, 9, 9, 9]",0.0,0.0,0.0,274.6817954182625
23,"[23, 23, 23, 23]",0.48079525359049385,0.5686963666240642,0.4662930045744963,359.9748361110687
46,"[46, 46, 46, 46]",0.7246713517113836,0.503058243563995,0.5772293424890922,339.43060779571533
70,"[70, 70, 70, 70]",0.8254774337764151,0.6474119043271864,0.7171287764109274,337.1998288035393
93,"[93, 93, 93, 93]",0.868435384098268,0.8837182764287017,0.8759337839780952,332.0687121748924
186,"[186, 186, 186, 186]",0.8462075569588285,0.897685776885156,0.8709720499701805,320.1909551024437
279,"[279, 279, 279, 279]",0.7746316715781298,0.9041902501369362,0.8335548150853368,317.5480120778084
465,"[465, 465, 465, 465]",0.8171775288035942,0.9107403688150448,0.861087159983317,318.56836622953415
930,"[930, 930, 930, 930]",0.8744292423375446,0.938972064999087,0.9055198034135635,350.7451310157776
1395,"[1395, 1395, 1395, 1395]",0.8943051092825984,0.9392002921307285,0.9157941253438063,353.7600384950638
1860,"[1860, 1860, 1860, 1860]",0.909668105301913,0.9423954719737083,0.925725398211348,388.1071689724922
