labeling_budget,used_labels,precision,recall,fscore,time
9,"[9, 9, 9, 9]",0.0,0.0,0.0,260.6420907378197
23,"[23, 23, 23, 23]",0.36046750051261023,0.6419572758809567,0.4616899743943274,345.2886342406273
46,"[46, 46, 46, 46]",0.9144009560800717,0.5587913091108271,0.6936763372620127,304.75453317165375
70,"[70, 70, 70, 70]",0.8873586546825166,0.5587913091108271,0.6857494958548062,275.9239253997803
93,"[93, 93, 93, 93]",0.754473542738653,0.8968413364980828,0.8195203336809176,313.24805778265
186,"[186, 186, 186, 186]",0.7855423620025674,0.8938287383604163,0.8361943803911521,280.9569944739342
279,"[279, 279, 279, 279]",0.7295705338502834,0.8932809932444769,0.8031683493392432,331.3796216249466
465,"[465, 465, 465, 465]",0.8307327001356852,0.8942851926236991,0.8613382572760045,300.3370489478111
930,"[930, 930, 930, 930]",0.8408699220352893,0.9353660763191528,0.8856043908552661,349.3057109117508
1395,"[1395, 1395, 1395, 1395]",0.8700305810397554,0.9350009129085266,0.9013464754026226,397.1639969944954
1860,"[1860, 1860, 1860, 1860]",0.8879733520336606,0.9247763374109914,0.9060012521241391,472.59182143211365
