labeling_budget,used_labels,precision,recall,fscore,time
9,"[9, 9, 9, 9]",0.0,0.0,0.0,250.03952926397324
23,"[23, 23, 23, 23]",0.6156723225688743,0.6161219645791491,0.6158970615075744,232.51751935482025
46,"[46, 46, 46, 46]",0.6173052478663519,0.6206865072119774,0.6189912600145666,234.7067729830742
70,"[70, 70, 70, 70]",0.5227933541017653,0.919207595398941,0.6665122128814457,241.3870865702629
93,"[93, 93, 93, 93]",0.5075689672343392,0.9305276611283549,0.6568501095501998,239.88363766670227
186,"[186, 186, 186, 186]",0.5198636756701766,0.9329925141500821,0.6676901969751413,254.0655182003975
279,"[279, 279, 279, 279]",0.8379715004191115,0.9126346540076684,0.8737108897045971,245.38397920131683
465,"[465, 465, 465, 465]",0.8544639893793561,0.9401132006572941,0.8952447187690167,247.72132539749146
930,"[930, 930, 930, 930]",0.9017183938278099,0.9389264195727588,0.9199463327370304,260.2582271695137
1395,"[1385, 1385, 1385, 1385]",0.9193762735890848,0.9473251780171627,0.9331414954363563,272.39495569467545
1860,"[1843, 1843, 1843, 1843]",0.9175294221750288,0.9465948511959101,0.9318355425747024,274.6293026804924
