labeling_budget,used_labels,precision,recall,fscore,time
10,"[10, 10, 10, 10, 10]",0.0,0.0,0.0,396.6892510414124
24,"[24, 24, 24, 24, 24]",0.0641321460833656,0.004856673361329195,0.009020488530201612,379.18575754165647
46,"[46, 46, 46, 46, 46]",0.1492860964770546,0.016925324082526932,0.03038517632616672,322.38427634239196
70,"[70, 70, 70, 70, 70]",0.4546549844544482,0.3827460288479094,0.389480852967704,356.39100646972656
94,"[94, 94, 94, 94, 94]",0.6331993912617662,0.6300894650356035,0.6316090383669726,367.3924133300781
186,"[186, 186, 186, 186, 186]",0.51413958788348,0.9341792952346175,0.6632376613659952,358.8065127849579
279,"[279, 279, 279, 279, 279]",0.8347924856909827,0.9166879678656198,0.8737966094455331,342.4452327728271
465,"[465, 465, 465, 465, 465]",0.8370683241490102,0.9411904327186417,0.8860554936241629,367.7401852607727
930,"[930, 930, 928, 928, 927]",0.897439130666853,0.9430710242833668,0.9196143684965777,396.16619629859923
1395,"[1385, 1384, 1385, 1384, 1384]",0.9157138942475826,0.9444221289026841,0.9298168969619967,371.29396681785585
1860,"[1843, 1839, 1839, 1842, 1843]",0.9215318693097464,0.9460105897389081,0.9336040219526092,376.3738809108734
