labeling_budget,used_labels,precision,recall,fscore,time
9,"[10, 10, 10, 10, 10]",0.0,0.0,0.0,712.8371741294861
23,"[24, 24, 24, 24, 24]",0.06038089344952646,0.004874931531860508,0.009014256677696736,461.9026346206665
46,"[46, 46, 46, 46, 46]",0.14890788066866648,0.018075588825999633,0.03222514971696798,745.4099234104157
70,"[70, 70, 70, 70, 70]",0.35879359318017123,0.2619682307832755,0.27387973068324606,760.7517313480378
93,"[94, 94, 94, 94, 94]",0.6518741936171958,0.622475807924046,0.636755603234689,609.8715631008148
186,"[186, 186, 186, 186, 186]",0.5188966469774605,0.9368632463027204,0.6678698145737918,531.9894741058349
279,"[279, 279, 279, 279, 279]",0.8343228236767235,0.9138396932627352,0.8722611125116257,679.6515847682953
465,"[465, 465, 465, 465, 465]",0.8568243347837203,0.9365711155742193,0.8948446145808283,1026.59142203331
930,"[930, 926, 926, 929, 929]",0.8899697222456702,0.9430527661128355,0.9157360175450041,1236.9964858531953
1395,"[1385, 1385, 1384, 1384, 1385]",0.9117430085488198,0.9472704035055687,0.9291492673335657,505.03777318000795
1860,"[1839, 1844, 1844, 1841, 1844]",0.9153330540862582,0.9464122694905971,0.9305927677006111,843.1265515327453
