labeling_budget,precision,recall,fscore
9,0.0,0.0,0.0
23,0.3465528696274339,0.6190432718641592,0.44434979194652857
46,0.8296545105566219,0.3156837684863977,0.45734691178415554
70,0.722501523461304,0.8658937374475076,0.7877252719873765
93,0.8817639554656752,0.867190067555231,0.8742693901863033
186,0.8088091353996736,0.9052400949424868,0.8543120530714224
279,0.8157411376355543,0.9099141865985029,0.8601173543861977
465,0.8764531036780507,0.9062990688333029,0.8910043019895701
930,0.8769234970342472,0.9201022457549755,0.8979844712768845
1395,0.9083825090785764,0.9360964031404053,0.9220312405936525
1860,0.8945339591052879,0.9403322987036699,0.9168488246243557
