labeling_budget,precision,recall,fscore
9,0.0,0.0,0.0
23,0.6157073793669616,0.6162132554318057,0.6159602135328739
46,0.6173399909214707,0.620777798064634,0.6190541217169648
70,0.5218039699681168,0.926328281906153,0.6675657894736842
93,0.5095720156359627,0.9282453898119408,0.657952633622363
186,0.5227411788700795,0.935913821435092,0.6708107047045737
279,0.815601686668829,0.9182033960197188,0.8638667010220733
465,0.8401770346692894,0.9358225305824355,0.8854243144029367
930,0.8691025240272093,0.9439839328099324,0.9049966134034033
1395,0.9175964352332487,0.9454263282819062,0.9312988476144245
1860,0.9239060556715202,0.9421581157568012,0.9329428059456916
