labeling_budget,precision,recall,fscore
9,0.0,0.0,0.0
23,0.07188160676532769,0.0062077779806463396,0.01142857142857143
46,0.12341000269144013,0.013164140953076503,0.02376350271074806
70,0.43203809797880516,0.3815409895928428,0.38548924156130965
93,0.6345289082660954,0.6305641774694176,0.6325280734528071
186,0.5101785765670693,0.9421215994157386,0.6618897242503439
279,0.8174599205835085,0.9179660398028118,0.8648019514149847
465,0.8379014616408347,0.9416834033229871,0.8867641321466253
930,0.8962587077971416,0.9420120503925506,0.9185577488159637
1395,0.9143437711806316,0.9462114296147526,0.9299694416325168
1860,0.9089011988643169,0.9463940113200657,0.9272556522415023
