labeling_budget,precision,recall,fscore
7,0.2958152958152958,0.267188009123493,0.28077384009587397
16,0.28749487074271646,0.6087759313565765,0.3905515102950911
33,0.7818708609271523,0.30775496904529165,0.44166471826046305
50,0.8639200998751561,0.48854132725100474,0.6241370936968813
66,0.8299721004384217,0.5654393396328881,0.6726315449465422
132,0.8863699198230577,0.6964266319105029,0.7800012164710176
198,0.8614004455415738,0.7769631801889867,0.8170059675070668
330,0.8751784388739793,0.832355816226784,0.8532301611601303
660,0.8792573060865744,0.8692299337460628,0.8742148670052978
990,0.9128555575024823,0.8487563810144454,0.879639791754608
1320,0.9138496976677224,0.8617899424351038,0.8870566533441403
