labeling_budget,precision,recall,fscore
7,0.10237844906343704,0.12175518627131532,0.10909643959564141
16,0.5636571294059649,0.09494949494949494,0.16136530828485637
33,0.7671769902091535,0.5536548278483762,0.6395826866236737
50,0.7464072398896002,0.7355381774736613,0.7387124827639022
66,0.7382167410141056,0.7863799283154123,0.7600587917804883
132,0.8264813766524515,0.821885521885522,0.8241214355848661
198,0.8783787024868278,0.8140002172260237,0.8446165217372272
330,0.8981455041112205,0.8355816226783969,0.8655520486677503
660,0.9256808491116416,0.8577821222982512,0.8903585298707514
990,0.9216881545065905,0.8758010209623113,0.898029749921497
1320,0.9223470104664973,0.8848484848484848,0.9030954625558116
