labeling_budget,precision,recall,fscore,time
9,0.0,0.0,0.0,371.9218448996544
23,0.062440314879339265,0.004541719919664049,0.008460248027236425,379.0433729290962
46,0.15222312211607508,0.01702574402044915,0.03060575728627401,324.0386264324188
70,0.5219791667051319,0.4730007303268212,0.47712725512938814,345.53897124528885
93,0.6357301813866307,0.6296101880591565,0.632633890299527,377.77603191137314
186,0.5148883779078234,0.9342934088004382,0.6638875365963972,363.55267041921616
279,0.8389211299204606,0.9161721745481102,0.875843577142572,333.63448548316956
465,0.8361491564169816,0.9426236991053496,0.8861753647832068,365.9830496907234
930,0.8947585466845268,0.9436735439109001,0.9184865704861931,399.761466383934
1395,0.9130247207506549,0.9447233887164507,0.9285789109428378,369.9409568309784
1860,0.9212891700890137,0.9456134745298521,0.9332844113910451,368.44030463695526
