labeling_budget,used_labels,precision,recall,fscore,time
7,"[10, 10, 10, 10, 10]",0.13109155461331423,0.2675898772672966,0.1758715441475241,145.6705057144165
16,"[16, 16, 16, 16, 16]",0.2173691232506217,0.28873683067231454,0.24443478831829166,140.41560826301574
33,"[33, 33, 33, 33, 33]",0.7403052303122908,0.26954491148039533,0.385829402287455,129.80855388641356
50,"[50, 50, 50, 50, 50]",0.7957157288160763,0.466080156402737,0.5841204356606948,143.8722327232361
66,"[66, 66, 66, 66, 66]",0.8023958833092752,0.5524600847181491,0.6489852489127719,132.7892174243927
132,"[132, 132, 132, 132, 132]",0.8502484118926358,0.696318018898664,0.7644702878636056,143.00938439369202
198,"[198, 198, 198, 198, 198]",0.8789692807006075,0.7505919409145216,0.8093252572717946,139.96068544387816
330,"[330, 330, 330, 330, 330]",0.8536215944793506,0.806712284131639,0.8294509217757158,155.33640174865724
660,"[660, 660, 660, 660, 660]",0.8730337900500189,0.8543499511241448,0.8633840589269124,151.6559416770935
990,"[990, 990, 990, 990, 990]",0.914456350463991,0.8524383621157815,0.8821816261357108,164.24632649421693
1320,"[1320, 1320, 1320, 1320, 1320]",0.9031486166711952,0.8706744868035191,0.8865723983536823,168.29707107543945
