labeling_budget,used_labels,precision,recall,fscore,time
7,"[7, 7, 7, 7, 7]",0.0,0.0,0.0,117.47973189353942
16,"[16, 16, 16, 16, 16]",0.0,0.0,0.0,117.69998726844787
33,"[33, 33, 33, 33, 33]",0.7252974282254043,0.5528945367655045,0.6274691072694216,125.90416522026062
50,"[50, 50, 50, 50, 50]",0.6985820132856413,0.5939502552405779,0.642031112415615,118.3442059993744
66,"[66, 66, 66, 66, 66]",0.7271766826176124,0.6354404257630064,0.6782205477467034,125.54280977249145
132,"[132, 132, 132, 132, 132]",0.8470503971871338,0.7064733355055935,0.7704015160487979,122.93324465751648
198,"[198, 198, 198, 198, 198]",0.8282910874897793,0.7701748669490605,0.7981764970733903,133.70085439682006
330,"[330, 330, 330, 330, 330]",0.7937201708113539,0.857988487020745,0.8246039823586211,138.17398290634156
660,"[660, 660, 660, 660, 660]",0.8549635197877515,0.8400130335614208,0.8474223415328985,145.27184629440308
990,"[990, 990, 990, 990, 990]",0.8981429056731967,0.8614641033995871,0.8794212218649518,162.2961618900299
1320,"[1320, 1320, 1320, 1320, 1320]",0.9242139840450493,0.8556533072662106,0.8886131633861598,180.76903805732726
