labeling_budget,used_labels,precision,recall,fscore,time
7,"[7, 7, 7, 7, 7]",0.5037942664418212,0.6489627457369392,0.5672378601604405,115.76422152519226
16,"[16, 16, 16, 16, 16]",0.6368526466380544,0.6043771043771043,0.6201900303714231,116.44503374099732
33,"[33, 33, 33, 33, 33]",0.6884267631103074,0.4134897360703812,0.5166587500848204,111.40714750289916
50,"[50, 50, 50, 50, 50]",0.7897265134559747,0.7856522211360921,0.7876840987667765,122.7026773929596
66,"[66, 66, 66, 66, 66]",0.8567650417743582,0.7740849353752579,0.8133291489543806,121.90340819358826
132,"[132, 132, 132, 132, 132]",0.8618896272753538,0.8099815357879873,0.8351297628713009,125.52252969741821
198,"[198, 198, 198, 198, 198]",0.8509173048316898,0.8387639839252742,0.8447969369615753,130.95268840789794
330,"[330, 330, 330, 330, 330]",0.9039970797590801,0.8069403714565004,0.8527158474649219,129.62915601730347
660,"[660, 660, 660, 660, 660]",0.9320250620640739,0.8563049853372433,0.8925619834710743,135.32520055770874
990,"[990, 990, 990, 990, 990]",0.9116161616161615,0.8626045400238949,0.8864333947206877,149.5147102832794
1320,"[1317, 1317, 1317, 1317, 1317]",0.9320570357325456,0.8910068426197458,0.9110697726073799,148.4300112247467
