labeling_budget,used_labels,precision,recall,fscore,time
710,"[10, 10, 10, 10, 10]",0.10237844906343704,0.12175518627131532,0.10909643959564141,173.96045355796815
16,"[16, 16, 16, 16, 16]",0.5636571294059649,0.09494949494949494,0.16136530828485637,163.52658958435057
34,"[34, 34, 34, 34, 34]",0.7671769902091535,0.5536548278483762,0.6395826866236737,157.45605578422547
50,"[50, 50, 50, 50, 50]",0.7464072398896002,0.7355381774736613,0.7387124827639022,162.54229321479798
66,"[66, 66, 66, 66, 66]",0.7382167410141056,0.7863799283154123,0.7600587917804883,160.7992441177368
132,"[132, 132, 132, 132, 132]",0.8264813766524515,0.821885521885522,0.8241214355848661,169.91693782806396
198,"[198, 198, 198, 198, 198]",0.8783787024868278,0.8140002172260237,0.8446165217372272,170.3247468471527
330,"[330, 330, 330, 330, 330]",0.8981455041112205,0.8355816226783969,0.8655520486677503,166.44452152252197
660,"[660, 660, 660, 660, 660]",0.9256808491116416,0.8577821222982512,0.8903585298707514,182.8237602710724
990,"[990, 990, 990, 990, 990]",0.9216881545065905,0.8758010209623113,0.898029749921497,202.62909622192382
1320,"[1318, 1317, 1318, 1317, 1318]",0.9223470104664973,0.8848484848484848,0.9030954625558116,216.88320326805115
