labeling_budget,used_labels,precision,recall,fscore,time,tp,fp,fn,tn
7,"[10, 10, 10, 10, 10]",0.050623121389061054,0.3516672097317258,0.0885023717361726,208.54554438591003,7675,117955,10739,63403
16,"[16, 16, 16, 16, 16]",0.2847509214532482,0.39050722276528727,0.15611136258731434,216.8955565929413,3025,1127,15389,180231
33,"[34, 34, 34, 34, 34]",0.6500268629842015,0.6584446616704681,0.6230201525938768,226.42618384361268,11834,2658,6580,178700
50,"[50, 50, 50, 50, 50]",0.7192473295408212,0.7061366351688931,0.7094089333182834,241.55256481170653,14269,6131,4145,175227
66,"[66, 66, 66, 66, 66]",0.7322160698879846,0.7565439339632888,0.7431027559152226,281.3076362133026,14835,5687,3579,175671
132,"[132, 132, 132, 132, 132]",0.8315619587724605,0.8215922667535571,0.8265052415765449,334.5115219116211,15181,3324,3233,178034
198,"[198, 198, 198, 198, 198]",0.8518619219921584,0.8157923319213642,0.8333819477077042,168.1987696647644,14894,2670,3520,178688
330,"[330, 330, 330, 330, 330]",0.8892574002697285,0.8610839578581514,0.8744136175189254,173.24540915489197,16136,2226,2278,179132
660,"[660, 660, 660, 660, 660]",0.9207545251880758,0.8476919734984252,0.882512871043802,179.27552103996277,15831,1718,2583,179640
990,"[990, 990, 990, 990, 990]",0.9358419732182398,0.8527098946453785,0.8919845612913463,191.32086763381957,15947,1305,2467,180053
1320,"[1317, 1317, 1317, 1318, 1317]",0.9389976937786958,0.869577495383947,0.9028801916264598,423.6235369205475,15956,952,2458,180406
