labeling_budget,used_labels,precision,recall,fscore,time,tp,fp,fn,tn
7,"[10, 10, 10, 10, 10]",0.23167129419573565,0.2858368632562181,0.25546881196962035,256.0374901294708,5628,16523,12786,164835
16,"[16, 16, 16, 16, 16]",0.39107227161559416,0.3041924622569784,0.3409534107882382,230.40221047401428,5738,7821,12676,173537
33,"[34, 34, 34, 34, 34]",0.4146207487535368,0.5041598783534267,0.45409107981511204,233.76953120231627,8324,12519,10090,168839
50,"[50, 50, 50, 50, 50]",0.45420839882712205,0.5045400238948626,0.4716443947504051,271.0868658542633,7928,9570,10486,171788
66,"[66, 66, 66, 66, 66]",0.5064600362401899,0.4662213533181275,0.4850003990764617,289.1691954612732,8926,10025,9488,171333
132,"[132, 132, 132, 132, 132]",0.655092622978237,0.7370261757358532,0.6928816461371576,376.40954823493956,13193,6526,5221,174832
198,"[198, 198, 198, 198, 198]",0.7268807758116783,0.6962094058868253,0.7111971017950006,378.3197441101074,12858,4620,5556,176738
330,"[330, 330, 330, 330, 330]",0.7726981933694401,0.7655913978494625,0.7684840370981987,421.7317931175232,13447,3856,4967,177502
660,"[660, 660, 660, 660, 660]",0.8382408379577418,0.8167046812208103,0.8273091944805978,433.6965404510498,14902,2952,3512,178406
990,"[990, 989, 990, 990, 990]",0.8865958023285376,0.8359834908222006,0.8603644702118081,517.3907101631164,15214,2140,3200,179218
1320,"[1317, 1316, 1317, 1316, 1316]",0.8998310716583295,0.8571304442272185,0.8778773007538365,569.7545332431794,15814,1812,2600,179546
