labeling_budget,used_labels,precision,recall,fscore,time,tp,fp,fn,tn
7,"[10, 10, 10, 10, 10]",0.22855445017719242,0.5789182144020855,0.3272890160651638,190.646329164505,10658,38343,7756,143015
16,"[16, 16, 16, 16, 16]",0.23085767431894771,0.5825458889975019,0.33043965414652454,202.43453211784362,10658,39730,7756,141628
33,"[34, 34, 34, 34, 34]",0.7388435692985187,0.5074834365156946,0.6014215860898492,214.57200074195862,9250,3763,9164,177595
50,"[50, 50, 50, 50, 50]",0.7534931685689747,0.5341696535244923,0.6238953109179368,238.92025361061096,9241,2792,9173,178566
66,"[66, 66, 66, 66, 66]",0.7469799821450303,0.631161073096557,0.6839695150596833,266.70334067344663,12073,4153,6341,177205
132,"[132, 132, 132, 132, 132]",0.9359472159131584,0.6171065493646138,0.7437113291742741,351.6694293498993,11025,891,7389,180467
198,"[198, 198, 198, 198, 198]",0.9341124913614749,0.6638753122624091,0.7758429433930263,364.99187598228457,12533,1107,5881,180251
330,"[321, 324, 320, 320, 320]",0.9544666482473388,0.7424242424242425,0.8351939224038057,482.7401882171631,13662,647,4752,180711
660,"[561, 556, 554, 556, 554]",0.9543147167205571,0.7553057456283263,0.8432212104208343,603.0132214546204,13925,807,4489,180551
990,"[680, 678, 680, 684, 679]",0.9568622891089499,0.7550342130987293,0.8440505811453869,635.0905869007111,13902,616,4512,180742
1320,"[724, 725, 724, 721, 728]",0.955400989691805,0.7559465623981753,0.8440505486574681,830.019233083725,13894,648,4520,180710
