labeling_budget,precision,recall,fscore
7,0.20971362492347462,0.1674269577495384,0.18619960742865768
16,0.22283883517363692,0.21152384055609863,0.21703396205388237
33,0.665444752001197,0.48305637015314434,0.5597684150907776
50,0.7488036516233527,0.5523514717063104,0.6357471012907461
66,0.7493923845530651,0.6028022157054415,0.6681514476614699
132,0.8335993870123236,0.7089714347778864,0.7662509170946441
198,0.8510678391959801,0.7357988487020745,0.7892468107415389
330,0.8876375404530744,0.744759422178777,0.8099456650129933
660,0.8843796489140135,0.8071032909742588,0.8439762628126865
990,0.9305628272251308,0.7721842076680786,0.8440078352228882
1320,0.935041867546308,0.8004778972520908,0.8625431564164081
